,boxoffice_num0
1478,1589032
1479,472693
1480,17539
1481,50813
1482,24936
1483,22716
1484,26292
1485,40374
1486,14261
1487,17637
1488,22752
1489,85363
1490,17372
1491,12714
1492,1245532
1493,177647
1494,117019
1495,6959083
1496,145547
1497,18323
1498,192347
1499,15668
1500,18179
1501,19287
1502,40372
1503,1743963
1504,16667
1505,18301
1506,37764
1507,21280
1508,47760
1509,563114
1510,292892
1511,162737
1512,98076
1513,53368
1514,15627
1515,68902
1516,23302
1517,315447
1518,159627
1519,152025
1520,17700
1521,1441973
1522,1500830
1523,898945
1524,69786
1525,94877
1526,105034
1527,4969735
1528,70558
1529,34289
1530,127325
1531,282662
1532,825517
1533,577748
1534,554521
1535,32592
1536,7049643
1537,27070
1538,18028
1539,3033052
1540,20727
1541,10283774
1542,10105247
1543,3610564
1544,2078698
1545,689071
1546,227586
1547,184661
1548,101568
1549,94767
1550,41931
1551,47088
1552,21252
1553,1635003
1554,18023
1555,22866
1556,22166
1557,17733
1558,172212
1559,41247
1560,35429
1561,232089
1562,225343
1563,54450
1564,260144
1565,142977
1566,428009
1567,1140876
1568,1306438
1569,1165780
1570,2421197
1571,26788
1572,956154
1573,327589
1574,784031
1575,611097
1576,125402
1577,1786383
1578,266253
1579,36676
1580,47060
1581,978413
1582,1744585
1583,25816
1584,550145
1585,375312
1586,65827
1587,37343
1588,2537438
1589,25419
1590,72047
1591,135874
1592,108991
1593,387342
1594,1755181
1595,2611966
1596,23469
1597,48460
1598,50419
1599,16778
1600,13190
1601,628576
1602,224657
1603,3872015
1604,2444136
1605,480361
1606,172253
1607,2515501
1608,17611
1609,5247874
1610,45649
1611,116119
1612,276379
1613,1004365
1614,136869
1615,24381
1616,30714
1617,848148
1618,407228
1619,21317
1620,301436
1621,1754375
1622,410644
1623,61130
1624,39980
1625,4706158
1626,309842
1627,121444
1628,57789
1629,14064
1630,26577
1631,43187
1632,5546792
1633,5661128
1634,24977
1635,1054963
1636,1708672
1637,2534748
1638,1855917
1639,30140
1640,30200
1641,19419
1642,2602273
1643,79840
1644,27224
1645,83258
1646,143776
1647,1028384
1648,111506
1649,24450
1650,168119
1651,1854711
1652,1763231
1653,23052
1654,150226
1655,202538
1656,119197
