,name,grade
506,막달라 마리아: 부활의 증인,12세 관람가
507,에브리데이,청소년 관람불가
508,바르다가 사랑한 얼굴들,전체 관람가
509,체실 비치에서,15세 관람가
510,지구: 놀라운 하루,전체 관람가
511,루비 스팍스,15세 관람가
512,팬텀 스레드,Nan
513,문호 스트레이독스 [데드 애플],12세 관람가
514,몬태나,15세 관람가
515,크리미널 스쿼드,15세 관람가
516,달링,12세 관람가
517,투 프렌즈,Nan
518,박물관이 진짜 살아있다,2018.11.08.
519,라라랜드,12세 관람가
520,피쉬 프렌즈: 알록이의 신기한 모험,전체 관람가
521,모어 댄 블루,12세 관람가
522,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",15세 관람가
523,해피 투게더,15세 관람가
524,원더스트럭,전체 관람가
525,중2병이라도 사랑이 하고 싶어! 테이크 온 미,12세 관람가
526,구스범스: 몬스터의 역습,Nan
527,당신의 부탁,15세 관람가
528,양말요정 휴고의 대모험,전체 관람가
529,쿵푸몽키,전체 관람가
530,러빙 빈센트,15세 관람가
531,하이큐!! 콘셉트의 싸움,12세 관람가
532,캡틴 스터비,전체 관람가
533,영주,12세 관람가
534,겨울왕국의 무민,전체 관람가
535,노크: 초대받지 않은 손님,15세 관람가
536,로건 럭키,12세 관람가
537,"세라비, 이것이 인생!",전체 관람가
538,극장판 프리! - 테이크 유어 마크 -,Nan
539,리틀 뱀파이어,전체 관람가
540,디트로이트,15세 관람가
541,노인을 위한 나라는 없다,청소년 관람불가
542,윌리,전체 관람가
543,펭이와 친구들의 남극대모험,2018.02.28.
544,마징가 Z: 인피니티,12세 관람가
545,아이 캔 온리 이매진,12세 관람가
546,휘트니,15세 관람가
547,터닝메카드W: 반다인의 비밀 특별판,전체 관람가
548,원더 휠,15세 관람가
549,무문관,전체 관람가
550,로마,128분
551,죄 많은 소녀,2018.09.13.
552,리즈와 파랑새,전체 관람가
553,다이노 헌터: 티렉스VS파키리노 대격돌,전체 관람가
554,호밀밭의 반항아,Nan
555,원더풀 라이프,전체 관람가
556,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,전체 관람가
557,러빙 빈센트 : 비하인드 에디션,Nan
558,아이 엠 러브,청소년 관람불가
559,어거스트 러쉬,전체 관람가
560,B급 며느리,12세 관람가
561,카메라를 멈추면 안 돼!,15세 관람가
562,극장판 가면라이더 이그제이드: 트루 엔딩,전체 관람가
563,픽시,청소년 관람불가
564,꼬마영웅 바비,전체 관람가
565,나라타주,15세 관람가
566,트와이스랜드,전체 관람가
567,액슬,12세 관람가
568,스페이스 치킨: 마법 부적의 비밀,전체 관람가
569,임을 위한 행진곡,2018.05.16.
570,판타스틱 부니베어,전체 관람가
571,로빈슨의 언더워터 어드벤처,전체 관람가
572,킨: 더 비기닝,15세 관람가
573,꼬마 보트 토토: 타요 타요 배 타요,전체 관람가
574,아인,15세 관람가
575,드래곤 프린세스,전체 관람가
576,탑건,액션
577,파이널 포트레이트,15세 관람가
578,호비와 매직 아일랜드,전체 관람가
579,더 스퀘어,15세 관람가
580,토니스토리2: 고철왕국의 친구들,전체 관람가
581,주문은 토끼입니까?? ~디어 마이 시스터~,전체 관람가
582,내 이야기!!,12세 관람가
583,바니부기: 드래곤 에그를 찾아서,전체 관람가
584,아기곰 보보 구출 대작전,전체 관람가
585,아기돼지 3형제와 쿵푸랜드,전체 관람가
586,위 베어 베어스: 베이비 베어스,전체 관람가
587,트와일라잇,일본
588,군산: 거위를 노래하다,15세 관람가
589,내안의 그놈,15세 관람가
590,캡틴 샤키,전체 관람가
591,빅 식,2018.07.18.
592,불한당: 나쁜 놈들의 세상,Nan
593,토이 가디언즈,전체 관람가
594,너는 여기에 없었다,15세 관람가
595,해피 어게인,15세 관람가
596,류이치 사카모토: 코다,전체 관람가
597,유니콘 원정대: 비밀의 다이어리,전체 관람가
598,오직 사랑뿐,12세 관람가
599,"아이, 토냐",청소년 관람불가
600,택시운전사,15세 관람가
601,신과함께-죄와 벌,2017.12.20.
602,공조,15세 관람가
603,스파이더맨: 홈 커밍,12세 관람가
604,범죄도시,청소년 관람불가
605,군함도,15세 관람가
606,청년경찰,15세 관람가
607,더 킹,15세 관람가
608,미녀와 야수,전체 관람가
609,킹스맨: 골든 서클,청소년 관람불가
610,토르: 라그나로크,12세 관람가
611,꾼,Nan
612,강철비,15세 관람가
613,남한산성,15세 관람가
614,미이라,15세 관람가
615,분노의 질주: 더 익스트림,15세 관람가
616,너의 이름은.,2017.01.04.
617,슈퍼배드 3,전체 관람가
618,아이 캔 스피크,12세 관람가
619,캐리비안의 해적: 죽은 자는 말이 없다,12세 관람가
620,프리즌,청소년 관람불가
621,덩케르크,12세 관람가
622,가디언즈 오브 갤럭시 VOL. 2,12세 관람가
623,살인자의 기억법,15세 관람가
624,트랜스포머: 최후의 기사,12세 관람가
625,보안관,미국
626,조작된 도시,15세 관람가
627,보스 베이비,전체 관람가
628,재심,15세 관람가
629,박열,12세 관람가
630,모아나,전체 관람가
631,마스터,15세 관람가
632,로건,프랑스
633,원더 우먼,미국
634,겟 아웃,15세 관람가
635,혹성탈출: 종의 전쟁,12세 관람가
636,1987,15세 관람가
637,애나벨 : 인형의 주인,15세 관람가
638,노무현입니다,12세 관람가
639,저스티스 리그,12세 관람가
640,킬러의 보디가드,청소년 관람불가
641,콩: 스컬 아일랜드,12세 관람가
642,23 아이덴티티,15세 관람가
643,임금님의 사건수첩,12세 관람가
644,부라더,12세 관람가
645,기억의 밤,2017.11.29.
646,해피 데스데이,청소년 관람불가
647,브이아이피,청소년 관람불가
648,특별시민,2017.04.26.
649,에이리언: 커버넌트,15세 관람가
650,장산범,15세 관람가
651,악녀,청소년 관람불가
652,해빙,15세 관람가
653,라라랜드,12세 관람가
654,하루,15세 관람가
655,지오스톰,12세 관람가
656,스타워즈: 라스트 제다이,12세 관람가
657,불한당: 나쁜 놈들의 세상,청소년 관람불가
658,그것,15세 관람가
659,오리엔트 특급 살인,12세 관람가
660,대립군,15세 관람가
661,베이비 드라이버,15세 관람가
662,위대한 쇼맨,12세 관람가
663,뽀로로 극장판 공룡섬 대모험,전체 관람가
664,레지던트 이블: 파멸의 날,2017.01.25.
665,공각기동대 : 고스트 인 더 쉘,2017.03.29.
666,트롤,미국
667,패신저스,12세 관람가
668,씽,전체 관람가
669,아빠는 딸,387명
670,컨택트,12세 관람가
671,47 미터,15세 관람가
672,메리와 마녀의 꽃,전체 관람가
673,얼라이드,15세 관람가
674,발레리안: 천 개 행성의 도시,12세 관람가
675,그레이트 월,2017.02.15.
676,침묵,15세 관람가
677,카3: 새로운 도전,전체 관람가
678,트리플 엑스 리턴즈,15세 관람가
679,리얼,청소년 관람불가
680,너의 췌장을 먹고 싶어,12세 관람가
681,라이프,15세 관람가
682,명탐정 코난:진홍의 연가,12세 관람가
683,히든 피겨스,12세 관람가
684,반드시 잡는다,15세 관람가
685,원라인,15세 관람가
686,터닝메카드W: 블랙미러의 부활,전체 관람가
687,스머프: 비밀의 숲,전체 관람가
688,로그 원: 스타워즈 스토리,12세 관람가
689,킹 아서: 제왕의 검,2017.05.17.
690,극장판 포켓몬스터 너로 정했다!,전체 관람가
691,넛잡 2,2017.10.03.
692,아메리칸 메이드,15세 관람가
693,러빙 빈센트,15세 관람가
694,보통사람,13분
695,대장 김창수,12세 관람가
696,눈의 여왕 3: 눈과 불의 마법대결,전체 관람가
697,어쌔신 크리드,15세 관람가
698,플립,12세 관람가
699,석조저택 살인사건,15세 관람가
