,name,Unnamed: 0,genre
1615,덕수리 5형제,1615.0,"[['코미디', '미국', '2013']]"
1616,덤 앤 더머 투,1616.0,"[['드라마', '한국', '2013']]"
1617,론 서바이버,1617.0,"[['애니메이션', '모험', '일본', '2014']]"
1618,컬러풀 웨딩즈,1618.0,"[['판타지', '모험', '드라마', '미국', '뉴질랜드', '2013']]"
1619,보이후드,1619.0,"[['범죄', '드라마', '미국', '2013']]"
1620,일곱난쟁이,1620.0,"[['액션', '범죄', '드라마', '스릴러', '중국', '2013']]"
1621,명탐정 코난 : 탐정들의 진혼가,1621.0,"[['액션', '모험', '스릴러', '미국', '2014']]"
1622,하울의 움직이는 성,1622.0,"[['애니메이션', '모험', '코미디', '가족', '미국', '2014']]"
1623,라스트베가스,1623.0,"[['액션', '범죄', '스릴러', '프랑스', '2015']]"
1624,아빠를 빌려드립니다,1624.0,"[['일본', '2015']]"
1625,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,1625.0,"[['코미디', '드라마', '프랑스', '2013']]"
1626,호빗: 스마우그의 폐허,1626.0,"[['한국', '2018']]"
1627,아메리칸 허슬,1627.0,"[['모험', '드라마', '영국', '독일', '캐나다', '남아프리카 공화국', '2014']]"
1628,폴리스 스토리 2014,1628.0,"[['애니메이션', '코미디', '미국', '2013']]"
1629,익스펜더블 3,1629.0,"[['SF', '드라마', '미국', '2014']]"
1630,마다가스카의 펭귄,1630.0,"[['드라마', '한국', '2014']]"
1631,테이큰 3,1631.0,"[['SF', '액션', '스릴러', '미국', '2014']]"
1632,가시,1632.0,"[['액션', '범죄', '드라마', '스릴러', '미국', '2014']]"
1633,마담 프루스트의 비밀정원,1633.0,"[['드라마', '미국', '프랑스', '2013']]"
1634,맨홀,1634.0,"[['드라마', '멜로/로맨스', '미국', '2013']]"
1635,꾸뻬씨의 행복여행,1635.0,"[['애니메이션', '가족', '모험', '코미디', '미국', '2014']]"
1636,터키,1636.0,"[['애니메이션', '액션', '가족', '영국', '미국', '오스트레일리아', '2013']]"
