,name,actor1.0_a_avg,actor1.0_r_avg
45,엑스맨: 다크 피닉스,714152.2102040817,7.6952585034013605
46,맨 인 블랙: 인터내셔널,5584500.0,8.516666666666666
47,뽀로로 극장판 보물섬 대모험,776101.2857142857,7.6657142857142855
48,캣츠,105242.18333333335,7.154999999999999
49,보헤미안 랩소디,4385719.933333333,8.6963
50,명탐정 피카츄,270279.0,8.226666666666667
51,신비아파트 극장판 하늘도깨비 대 요르문간드,64971.375,7.928125
52,나이브스 아웃,451817.7214285714,8.034982993197278
53,샤잠!,705299.3,8.121
54,날씨의 아이,783937.4404761904,8.034960317460317
55,나를 찾아줘,316537.6333333333,7.952999999999999
56,광대들: 풍문조작단,1028463.9319727892,7.74752380952381
57,그것: 두 번째 이야기,787746.6904761906,8.006380952380953
58,극장판 헬로카봇 : 달나라를 구해줘!,0.0,8.3125
59,극장판 헬로카봇: 옴파로스 섬의 비밀,0.0,0.0
60,이스케이프 룸,774.0,4.803333333333333
61,양자물리학,1385514.6238095239,7.380444444444444
62,애드 아스트라,347500.0,8.351666666666667
63,47미터 2,406584.0625,8.151875
64,PMC: 더 벙커,3629666.6666666665,7.794833333333335
65,애나벨 집으로,767727.4,7.794
66,감쪽같은 그녀,4063403.0238095233,8.316547619047618
67,글래스,0.0,0.0
68,그린 북,357279.3666666667,8.6725
69,해피 데스데이 2 유,538958.0,8.206388888888888
70,극장판 공룡메카드: 타이니소어의 섬,870000.0,7.72
71,제미니 맨,0.0,0.0
72,고질라: 킹 오브 몬스터,430470.06666666665,8.190761904761905
73,덤보,3938.0,8.941666666666668
74,브링 더 소울 : 더 무비,0.0,6.14
75,아담스 패밀리,363474.53968253965,7.5205753968253966
76,헬보이,72667.12666666666,6.9239999999999995
77,천로역정: 천국을 찾아서,1776713.3333333333,8.67
78,미성년,2461007.1885714284,8.395142857142858
79,배심원들,138733.63333333333,8.463333333333335
80,기방도령,1659703.0375,7.607833333333332
81,신데렐라:마법 반지의 비밀,796530.2857142857,7.407142857142857
82,원스 어폰 어 타임... 인 할리우드,263471.6222222222,8.21422222222222
83,기묘한 가족,1317500.0,7.9245625
84,악질경찰,70317.5625,7.664333333333334
85,메리 포핀스 리턴즈,413873.9809523809,8.109238095238094
86,명탐정 코난: 감청의 권,0.0,0.0
87,스윙키즈,492250.0,8.290000000000001
88,커런트 워,232482.61666666664,8.2365
89,어린 의뢰인,1486958.763888889,8.324333333333334
90,"안녕, 티라노: 영원히, 함께",305333.3333333333,6.9125
91,요로나의 저주,2467333.333333333,8.605
92,롱 샷,1743151.3333333333,8.367142857142857
93,우상,986777.7777777779,7.644520833333333
94,엔젤 해즈 폴른,238954.83333333334,7.839375
95,두번할까요,1202893.25,7.99575
