,name,director1.0_a_avg,director1.0_r_avg
218,라라와 움직이는 비밀의 숲,20650.25,6.5200000000000005
219,아픈 만큼 사랑한다,516750.0,7.814999999999999
220,극장판 샤이닝스타:새로운 루나퀸의 탄생!,0.0,0.0
221,이케아 옷장에서 시작된 특별난 여행,10678.0,8.82
222,파리의 딜릴리,23978.25,8.821666666666667
223,쉘부르의 우산,1300.75,7.405
224,헤로니모,0.0,0.0
225,극장판 타오르지마 버스터-블랙어썰트의 귀환,15000.0,8.995000000000001
226,크리드2,129255.2,7.380000000000001
227,프렌드 존,8522.5,8.235
228,아사코,4009.285714285714,8.52
229,수영장으로 간 남자들,9920.0,8.78
230,시민 노무현,10987.4,8.78
231,뷰티풀 보이,8626.0,8.51
232,양지의 그녀,36914.16666666666,8.645
233,신과함께-인과 연,6388714.285714285,8.206142857142858
234,어벤져스: 인피니티 워,7131333.333333333,7.682166666666667
235,보헤미안 랩소디,4132000.0,8.075714285714286
236,미션 임파서블: 폴아웃,5270000.0,8.547500000000001
237,신과함께-죄와 벌,6388714.285714285,8.206142857142858
238,쥬라기 월드: 폴른 킹덤,1308032.6,8.41
239,앤트맨과 와스프,2472500.0,8.321666666666667
240,안시성,1835129.25,7.945
241,블랙 팬서,1802887.6666666667,8.693333333333333
242,완벽한 타인,0.0,0.0
243,1987,3342278.7619047617,8.299333333333333
244,독전,1445714.2857142857,7.712857142857144
245,공작,3579285.714285714,8.05857142857143
246,베놈,0.0,6.630000000000001
247,암수살인,3621428.5714285714,8.674285714285714
248,데드풀 2,1283598.7142857143,7.825
249,국가부도의 날,1513333.3333333333,8.393333333333333
250,아쿠아맨,960142.8571428572,7.881428571428572
251,그것만이 내 세상,0.0,0.0
252,마녀,0.0,4.79
253,탐정: 리턴즈,1530000.0,7.6571428571428575
254,인크레더블 2,2540000.0,8.941666666666666
255,지금 만나러 갑니다,1655000.0,8.72
256,목격자,1056721.6666666667,6.926666666666667
257,조선명탐정: 흡혈괴마의 비밀,2972500.0,8.067499999999999
258,신비한 동물들과 그린델왈드의 범죄,3038000.0,8.338
259,메이즈 러너: 데스 큐어,2613333.333333333,8.296666666666667
260,맘마미아!2,806666.6666666666,8.68
261,명당,1470000.0,7.13
262,협상,5224200.0,8.462
263,마약왕,3013333.333333333,8.110000000000001
264,쥬만지: 새로운 세계,1380000.0,7.566666666666667
