,month,year,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
1595,7,2016,827,39806,1,5,1.0,3,123.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,979500.0,8.428333333,651404.05,7.778166667
1596,8,2017,110,2003,2,3,0.0,4,86.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22936.0,6.5225,94263.0,7.646666667
1597,10,2014,41,1980,0,5,0.0,1,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24419.66667,9.365,162626.3,7.098333333
1598,1,2018,25,774,0,1,1.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,225768.32117104737,5.498639112275811,288941.8016220561,5.461852312476617
1599,7,2019,69,1267,1,0,0.0,4,123.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22757.2,7.288,506603.0,8.2525
1600,3,2014,46,1219,0,2,1.0,3,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19000.0,8.39,1038930.5,7.0
1601,12,2015,1204,18630,0,2,1.0,2,122.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,998896.3333,7.3,946107.1429,7.580178571
1602,12,2015,596,4922,0,2,1.0,2,122.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,998896.3333,7.3,946107.1429,7.580178571
1603,2,2015,825,80499,0,3,1.0,2,125.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2972500.0,8.0675,2795130.952,7.844035714
1604,2,2018,1249,74953,0,3,1.0,2,120.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2972500.0,8.0675,3514125.0,8.039625
1605,1,2014,388,14031,0,5,1.0,2,107.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,413461.6667,6.656666667,1049363.004,7.072604167
1606,3,2016,405,12860,1,0,1.0,2,124.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3156098.5,8.601833333,4377905.75,8.817428571
1607,2,2017,1019,62241,0,3,1.0,3,126.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4470000.0,8.483333333,974562.3472,7.486845238
1608,3,2016,90,1983,2,2,0.0,2,98.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26000.0,9.26,24626.5,8.751666667
1609,10,2019,1418,147380,1,1,1.0,3,123.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1471500.0,8.04,1328000.0,8.63
1610,8,2014,58,2830,0,5,0.0,3,104.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,470400.0,8.258333333,879739.2417,7.86
1611,1,2015,321,6653,1,0,0.0,4,131.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,225768.32117104737,5.498639112275811,288941.8016220561,5.461852312476617
1612,2,2017,250,11570,1,1,0.0,4,122.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1113087.75,7.102
