,name,r_avg,a_avg
88, 애드리애너 그라지엘,NULL,NULL
89, 쿠로키 하루,7.085,37185.75
90, 케빈 하트,8.745,978750.0
91, 문보람,NULL,NULL
92, 잭 킬버그,8.280000000000001,2320.0
93, 미야케 켄타,NULL,NULL
94, 쿠리시마 스미코,NULL,NULL
95, 박영재,NULL,NULL
96, 권율,7.684285714285714,654778.7142857143
97, 레이디 가가,NULL,NULL
98, 손현주,6.724000000000001,530000.0
99, 크리스 쿠퍼,8.56,1391750.0
100, 장혜문,8.88,55000.0
101, 제이미 도넌,7.646000000000001,89608.6
102, 케이티 믹슨,7.645999999999999,575524.0
103, 김서형,7.381666666666667,1511721.1666666667
104, 브릿 로버트슨,8.45,127333.33333333333
105, 로렌 딜런,NULL,NULL
106, 스가 켄타,9.126666666666667,10568.0
107, 앤드류 센세닉,7.720000000000001,45140.0
108, 매튜 구드,8.219999999999999,27500.0
109, 이수혁,7.5225,490859.0
110, 빅키 크리엡스,8.0775,44511.0
111, 서태화,7.665000000000001,259674.75
112, 안서현,7.571428571428571,1107714.2857142857
113, 서니 설직,8.085,76750.0
114, 마크 게티스,8.538333333333332,122241.83333333333
115, 신순애,NULL,NULL
116, 윤여정,8.538333333333332,886909.6666666666
117, 임윤선,8.645999999999999,302000.0
118, 사라 폴슨,8.559999999999999,446200.0
119, 벤자민 워커,8.180000000000001,276460.0
120, 테일러 키취,8.084285714285715,415714.28571428574
121, 손예진,8.1375,3625000.0
122, 김혜준,8.396,922675.8
123, 진선규,8.013333333333334,993333.3333333334
124, 루퍼트 프렌드,8.091999999999999,54639.5
125, 리즈 아메드,8.299999999999999,2500000.0
126, 데이지 리들리,7.920000000000001,873714.2857142857
127, 왕석현,7.715999999999999,2054200.0
128, 대니 글로버,8.03,400333.3333333333
129, 마이 브리트 앤더슨,NULL,NULL
130, 에밀 허쉬,7.646666666666666,94263.0
131, 아사노 타다노부,8.286666666666667,330663.0
132, 레오나르도 디카프리오,8.075,187175.66666666666
133, 테라지마 스스무,8.71,37000.0
134, 카렌 길런,8.535,4462166.666666667
135, 홍정수,NULL,NULL
136, 지니퍼 굿윈,8.122,1440000.0
137, 콘스탄틴 카벤스키,7.755,20000.0
138, 다니엘 헤니,7.840000000000001,1648171.4285714286
139, 사카모토 마아야,NULL,NULL
140, 카롤리네 슈허,7.766666666666667,48529.5
141, 존 하슬러,8.006666666666666,15333.333333333334
142, 리처드 아미티지,8.015,1040610.75
143, 말린 애커맨,7.656666666666666,507411.3333333333
144, 줄리아 스타일스,6.878333333333334,699040.5
145, 이안 맥쉐인,8.076,407000.0
146, 조쉬 스튜어트,4.83,275155.5
147, 심규혁,NULL,NULL
148, 캐리 멀리건,8.474,317739.2
149, 알렉스 페티퍼,7.795,47509.0
150, 온영삼,NULL,NULL
151, 쿠리타 칸이치,8.43,115500.0
152, 유오성,7.025,1397692.125
153, 송새벽,7.2542857142857144,196285.7142857143
154, 유창복,NULL,NULL
155, 로브 로우,7.75,15000.0
156, 임영석,NULL,NULL
157, 이시언,7.650000000000001,917166.6666666666
158, 정혜원,NULL,NULL
159, 진이한,5.4350000000000005,174430.5
160, 빌 멜렌데즈,NULL,NULL
161, 정재헌,NULL,NULL
162, 이스라엘 브로우사드,8.01,535195.0
163, 샤키라,NULL,NULL
164, 귈림 리,9.45,9940000.0
165, 이상엽,7.484,853400.0
166, 이시마루 켄지로,7.663333333333334,20679.333333333332
167, 김효진,7.0925,1376490.4285714286
168, 존 터투로,7.613333333333333,874334.0
169, 알레산드라 마스트로나르디,8.145,100000.0
170, 정준영,7.743333333333332,19183.333333333332
171, 윌 폴터,NULL,NULL
172, 이유영,NULL,NULL
173, 신정근,7.691428571428572,1437973.7142857143
174, 마동석,7.8759999999999994,4044000.0
175, 에밀리 블런트,8.264285714285714,295022.14285714284
176, 제이크 질렌할,8.015,2011900.75
177, 구민선,7.836666666666667,1681269.0
178, 캐롤라인 도,NULL,NULL
179, 아르노 비야르,7.845000000000001,57036.0
180, 엄정화,7.8237499999999995,1196125.0
181, 유해무,NULL,NULL
182, 오순옥,NULL,NULL
183, 제레미 레이 테일러,8.05,629000.0
184, 김민석,7.670000000000001,703333.3333333334
185, 후치가미 마이,NULL,NULL
186, 정웅인,7.86,3180142.8571428573
187, 얀 라벡,NULL,NULL
188, 최윤정,NULL,NULL
189, 나라하시 미키,NULL,NULL
190, 오카모토 노부히코,NULL,NULL
191, 자비에르 사무엘,7.53,7071.0
192, 알마 포이스티,8.05,12414.5
193, 스콧 앳킨스,NULL,NULL
194, 김성철,8.31,1221250.0
195, 나탈리 포트만,8.593333333333334,4663968.333333333
196, 질 를르슈,8.78,9920.0
197, 고수,8.186,2134000.0
198, 정은지,7.423333333333333,160000.0
199, 우르갼 릭젠,NULL,NULL
200, 매들린 해리스,8.945,320000.0
201, 캘런 맥오리피,6.8625,450297.25
202, 시우민,NULL,NULL
203, 크리스티나 아길레라,NULL,NULL
204, 신용우,NULL,NULL
205, 손윤상,NULL,NULL
206, 최막이,NULL,NULL
207, 맥스 레나우딘,8.93,21000.0
208, 마이클 치클리스,5.036666666666666,6828.0
209, 마이클 브랜든,6.99,134875.0
210, 김슬기,8.17125,2740000.0
211, 비고 모텐슨,8.350000000000001,92725.4
212, 이서연,7.335,NULL
213, 이민호,8.423333333333334,2383333.3333333335
214, 루이 가렐,7.8725000000000005,289047.6666666667
215, 배소은,NULL,NULL
216, 이안 제임스 코렛,7.92,47000.0
217, 제프 골드브럼,8.305,2173500.0
218, 줄리안 무어,7.773333333333333,26653.333333333332
219, 굴초소,7.84,9147.0
220, 나카오 류세이,7.983333333333334,24666.666666666668
221, 쉬잔느 클레먼트,NULL,NULL
222, 린다 해밀턴,8.375,3450000.0
223, 성 강,7.933333333333334,1843787.3333333333
224, 헨리,NULL,NULL
225, 나딘 벨라즈퀘즈,NULL,NULL
226, 스탠 워커,6.95,27000.0
227, 레나 헤디,7.676666666666667,16201.0
228, 에디 레드메인,8.424285714285714,1061187.2857142857
229, 박자희,NULL,NULL
230, 은영선,NULL,NULL
231, 나탈리 도머,7.593999999999999,344821.6
232, 김영애,8.381250000000001,1954875.0
233,이경영,7.840000000000001,3434857.1428571427
234, 김고은,7.733333333333334,931666.6666666666
235, 윤승희,10.0,NULL
236, 쿠로다 타카야,NULL,NULL
237, 자넬 모네,NULL,NULL
238, 애드리언 브로디,7.380000000000001,37539.0
239, 엘피 도넬리,NULL,NULL
240, 류이호,7.515000000000001,68500.0
241, 테사 톰슨,8.423333333333334,4945000.0
242, 샤이아 라보프,8.372,280506.4
243, 애슐리 벨,NULL,22000.0
244, 코디 스밋 맥피,7.224000000000001,761556.8
245, 셀마 헤이엑,6.874,850418.5
246, 스티브 쿠건,6.921666666666667,6400.5
247, 아딜 후세인,NULL,NULL
248, 윌로우 쉴즈,7.680000000000001,842500.0
249, 이인석,NULL,NULL
250, 스티븐 토보로스키,NULL,NULL
251, 황우슬혜,6.6775,669216.5
252, 캐서린 워터스턴,7.669999999999999,880000.0
253, 이요섭,8.263333333333334,687839.3333333334
254, 장첸,8.643333333333333,483397.0
255, 나나,7.555,2300000.0
256, 주진모,NULL,NULL
257, 조디 포스터,7.830000000000001,277400.0
258, 마리안느 스퇴거,NULL,NULL
259, 키키 키린,8.651428571428571,69401.71428571429
260, 라다 미첼,6.800000000000001,78000.0
261, 안젤라 리치오티,NULL,NULL
262, 하마츠 타카유키,7.705,10769.5
263, 리처드 용재 오닐,NULL,NULL
264, 로저 알람,8.273333333333333,11839.333333333334
265, 해리슨 포드,NULL,NULL
266, 김태우,7.541428571428573,650115.0
267, 채드윅 보스만,NULL,NULL
268, 우에다 카나,NULL,NULL
269, 사라 폴리,7.858333333333332,54050.8
270, 히어로 파인즈 티핀,6.95,613802.2
271, 제니퍼 틸리,5.484999999999999,2986.0
272, 폴 제슨,NULL,NULL
273, 드류 베리모어,8.443333333333333,22749.0
274, 앵거리 라이스,7.9799999999999995,2566666.6666666665
275, 사라 라이트,7.305,200100.0
