,director,필모그래피 개수,천만관객 뱃지 유무,수상 개수
1031, 이원재,,,
1032, 이리노 미유,,,
1033, 트래비스 파인,,,
1034, 파블로 라라인,,,
1035, 변성현,,,
1036, 빔 벤더스,,,
1037, 이덕희,,,
1038, 제이크 캐스단,,,
1039, 안드레이 콘찰로프스키,,,
1040, 존 리 행콕,,,
1041, 해리슨 포드,,,
1042, 케빈 코스트너,,,
1043, 사카이 카즈오,,,
1044, 앙티 하이칼라,,,
1045, 김석윤,,,
1046, 박정오,,,
1047, 아론 폴,,,
1048, 정다운,,,
1049, 아네트 베닝,,,
1050, 문창용,,,
1051, 이인항,,,
1052, 제임스 밴더빌트,,,
1053, 김성제,,,
1054, 폴 페이그,,,
1055, 홍기선,,,
1056, 박대민,,,
1057, 오오타니 이쿠에,,,
1058, 제이크 슈레이어,,,
1059, 드류 피어스,,,
1060, 낸시 플로렌스 사바르,,,
1061, 에스펜 잔드베르크,,,
1062, 레오나르도 디카프리오,,,
1063, 폴 탠터,,,
1064, 표도르 드미트리에프,,,
1065, 폴 차이나,,,
1066, 정용기,,,
1067, 저스틴 잭햄,,,
1068, 필 알덴 로빈슨,,,
1069, 윤세영,,,
1070, 이용승,,,
1071, 토비 젠켈,,,
1072, 니콜라스 스톨러,,,
1073, 에즈라 와이즈,,,
1074, 노에미 사글리오,,,
1075, 이선호,,,
1076, 존 크로키다스,,,
1077, 폴 킹,,,
1078, 스티븐 S. 드나이트,,,
1079, 나연,,,
1080, 데니스 간젤,,,
1081, 로제르 아길라르,,,
1082, 조엘 킨나만,,,
1083, 쏘어 프류덴탈,,,
1084, 미야오 요시카즈,,,
1085, 알렉스 페티퍼,,,
1086, 페이튼 리드,,,
1087, 데이빗 알루,,,
1088, 도미닉 쿡,,,
1089, 조던 베이커,,,
1090, 리처드 글랫저,,,
1091, 스도 토모노리,,,
1092, 이민재,,,
1093, 베르너 헤어조크,,,
1094, 하비에르 페서,,,
1095, 윤시윤,,,
1096, 토다 케이코,,,
1097, 카네다 오사무,,,
1098, 브누와 쟉꼬,,,
1099, 필립 노이스,,,
1100, 이시이 유야,,,
1101, 줄리아 폰 하인츠,,,
1102, 정기훈,,,
1103, 줄리안 조단,,,
1104, 피에르 모렐,,,
1105, 로저 미첼,,,
1106, 리처드 론크레인,,,
1107, 필리프 팔라도,,,
1108, 스콧 만,,,
1109, 알베르토 마르,,,
1110, 토드 필립스,,,
1111, 호세 파딜라,,,
1112, 젠디 타타코브스키,,,
1113, 가브리엘 리바 팔라시오 알라트리스테,,,
1114, 성룡,,,
1115, 코바야시 유키,,,
1116, 버나드 로즈,,,
1117, 제이슨 라이트,,,
1118, 게빈 오코너,,,
1119, 방형우,,,
1120, 김재덕,,,
1121, 스티븐 프리어스,,,
1122, 마리나 네페도바,,,
1123, 시즈노 코분,,,
1124, 윌리엄 유뱅크,,,
1125, 프란시스 로렌스,,,
1126, 로버츠 개너웨이,,,
1127, 존 말루프,,,
1128, 토니 세르빌로,,,
1129, 조엘 크로포드,,,
1130, 알렉산드르 아야,,,
1131, 후시하라 켄시,,,
1132, 이재용,,,
1133, 최우식,,,
1134, 제임스 왓킨스,,,
1135, 사이먼 페그,,,
1136, 엄유나,,,
1137, 차태현,,,
1138, 이수진,,,
1139, 키시 세이지,,,
1140, 남대중,,,
1141, 모홍진,,,
1142, 황정민,,,
1143, 로베르트 슈벤트케,,,
1144, 홍현정,,,
1145, 이동은,,,
1146, 리암 니슨,,,
1147, 마동석,,,
1148, 최호,,,
1149, 닐 블롬캠프,,,
1150, 레베카 매튜스,,,
1151, 로아 우타우,,,
1152, 샘 햄슨,,,
1153, 야론 질버맨,,,
1154, 장광,,,
1155, 에릭 넬슨,,,
1156, 마이크 트메이어,,,
1157, 안국진,,,
1158, 허원,,,
1159, 이정범,,,
1160, 제이미 밋첼,,,
1161, J.J. 에이브럼스,,,
1162, 찰리 스트레이턴,,,
1163, 램버트 윌슨,,,
1164, 도미니크 아벨,,,
1165, 김주호,,,
1166, 석민우,,,
1167, 카일 랜킨,,,
1168, 알렉스 오렐,,,
1169, 크리스티앙 벵상,,,
1170, 김곡,,,
1171, 방은진,,,
1172, 김하라,,,
1173, 알렉산더 바흐,,,
1174, 제레미 드그루손,,,
1175, 테일러 쉐리던,,,
1176, 조현훈,,,
1177, 샘 펠,,,
1178, 루이스 부뉴엘,,,
1179, 애드리안 브로디,,,
1180, 알폰소 고메즈-레존,,,
1181, 크레이그 질레스피,,,
1182, 알레한드로 아메나바르,,,
1183, 박철민,,,
1184, 올가 로패토,,,
1185, 우시로 신지,,,
1186, 안권태,,,
1187, 요시다 다이하치,,,
1188, 데이빗 토히,,,
1189, 이마이즈미 리키야,,,
1190, 변영규,,,
1191, 데이빗 핀처,,,
1192, 고정욱,,,
1193, 윌프레드 잭슨,,,
1194, 저스틴 밸도니,,,
1195, 대니 분,,,
1196, 월리 피스터,,,
1197, 김의석,,,
1198, 잭 스마이트,,,
1199, 김진묵,,,
1200, 하네스 홀름,,,
1201, 류정우,,,
1202, 조진규,,,
1203, 정연식,,,
1204, 유하,,,
1205, 조시 쿨리,,,
1206, 엄정화,,,
1207, 빌 포래드,,,
1208, 벵상 파타,,,
1209, 이시하라 타츠야,,,
1210, 박상준,,,
1211, 한혜진,,,
1212, 크리스 파인,,,
1213, 애드리언 그런버그,,,
1214, 하지원,,,
1215, 윌 핀,,,
1216, 장수원,,,
1217, 알트욤 루키체프,,,
1218, 켈란 루츠,,,
1219, 케빈 먼로,,,
1220, 스티븐 소더버그,,,
1221, 허준형,,,
1222, 다카하시 아츠시,,,
1223, 척 파워스,,,
1224, 스콧 제프리,,,
1225, 슈테판 루조비츠키,,,
1226, 릭 오스터만,,,
1227, 비탈리 무카메지아노브,,,
1228, 피터 첼섬,,,
1229, 톰 후퍼,,,
1230, 라이 루소 영,,,
1231, 스티브 마티노,,,
1232, 매티 벡커맨,,,
1233, 벨렌 루에다,,,
1234, 설경구,,,
1235, 제레미 아이언스,,,
1236, 차야놉 분프라콥,,,
1237, 로슨 마샬 터버,,,
1238, 스콧 데릭슨,,,
1239, 정우성,,,
1240, 로완 조페,,,
1241, 이요섭,,,
1242, 가렛 에드워즈,,,
1243, 로버트 드 니로,,,
1244, 토니 레온디스,,,
1245, 안재홍,,,
1246, 카린느 타르디유,,,
1247, 성시흡,,,
1248, 홍상수,,,
1249, 애너 보든,,,
1250, 강동원,,,
1251, 정식,,,
1252, 구봉회,,,
1253, 풍덕륜,,,
1254, 김현석,,,
1255, 잭 키니,,,
1256, 월트 베커,,,
1257, 안소니 루소,,,
1258, 웨스 볼,,,
1259, 유위,,,
1260, 미키 타카히로,,,
1261, 크리스찬 베일,,,
1262, 벤 애플렉,,,
1263, 조병만,,,
1264, 세스 로건,,,
1265, 자비에 돌란,,,
1266, 임진순,,,
1267, 이수성,,,
1268, 조디 포스터,,,
1269, 조나단 레빈,,,
1270, 지민,,,
1271, 파올로 소렌티노,,,
1272, 크리스티나 휴즈,,,
1273, 마크 실버스테인,,,
1274, 이라 카르페란,,,
1275, 유야마 쿠니히코,,,
1276, 데니스 스토르호이,,,
1277, 송승헌,,,
1278, 프레데릭 벨,,,
1279, 세르지오 레오네,,,
1280, 안드레스 무시에티,,,
1281, 하마다 타츠오미,,,
1282, 알렉스 커츠만,,,
1283, 김희애,,,
1284, 두기봉,,,
1285, 홍용호,,,
1286, 김성홍,,,
1287, 조정석,,,
1288, 채드 스타헬스키,,,
1289, 국동석,,,
1290, 게리 쇼어,,,
1291, 왕운비,,,
1292, 와타나베 카츠야,,,
1293, 웨스 앤더슨,,,
1294, 우디 앨런,,,
1295, 타라 아타샤하,,,
1296, 아담 추,,,
1297, 켄 로치,,,
1298, 권수경,,,
1299, 카메가키 하지메,,,
1300, 펠릭스 반 그뢰닝엔,,,
1301, 롤프 슈벨,,,
1302, 존 스티븐슨,,,
1303, 에드워드 즈윅,,,
1304, 스티븐 카플 주니어,,,
1305, 김지혜,,,
1306, 정지우,,,
1307, 사준의,,,
1308, 이장훈,,,
1309, 봉준호,,,
1310, 러셀 크로우,,,
1311, 오치아이 마사유키,,,
1312, 세스 맥팔레인,,,
1313, 타카하시 시게하루,,,
1314, 제시 아이젠버그,,,
1315, 김제영,,,
1316, 베넷 밀러,,,
1317, 육상효,,,
1318, 마이클 피트,,,
1319, 강석우,,,
1320, 실뱅 쇼메,,,
1321, 봉만대,,,
1322, 에비 콘,,,
1323, 타위랍 스리우티윙스,,,
1324, 카를로스 살다나,,,
1325, 김광식,,,
1326, 조 라이트,,,
1327, 자릴 라스페르,,,
1328, 정익환,,,
1329, 임대형,,,
1330, 딘 패리소트,,,
1331, 알레한드로 곤잘레스 이냐리투,,,
1332, 손용호,,,
1333, 맷 리브스,,,
1334, 니콜라이 아르셀,,,
1335, 히라오 타카유키,,,
1336, 정국,,,
1337, 민용근,,,
1338, 이석훈,,,
1339, 야마자키 다카시,,,
1340, 김대우,,,
1341, 코디 캐머런,,,
1342, 박형준,,,
1343, 양선,,,
1344, 우메츠 토모미,,,
1345, 요코이 타케시,,,
1346, 올리비에 다한,,,
1347, 이경섭,,,
1348, 마르얀 사트라피,,,
1349, 앤드류 가필드,,,
1350, 장수영,,,
1351, 크리스 콜럼버스,,,
1352, 엘리자베스 올슨,,,
1353, 이가라시 타쿠야,,,
1354, 김병서,,,
1355, 루벤 플레셔,,,
1356, 닉 카사베츠,,,
1357, 마이클 차베즈,,,
1358, 다니엘 드 필립포,,,
1359, 제프리 프리드먼,,,
1360, 게리 로스,,,
1361, 롭 레터맨,,,
1362, 전후석,,,
1363, 유재운,,,
1364, 로버트 저메키스,,,
1365, 님로드 앤탈,,,
1366, 김진영,,,
1367, 스티븐 소머즈,,,
1368, 루이 클리시,,,
1369, 크리스티안 레브링,,,
1370, 아쉬가르 파라디,,,
1371, 닐 조단,,,
1372, 이재한,,,
1373, 빅터 라키소프,,,
1374, 구스 반 산트,,,
1375, 더그 라이만,,,
1376, 다카하타 이사오,,,
1377, 강우석,,,
1378, 이지승,,,
1379, 김병갑,,,
1380, 임흥순,,,
1381, 신용우,,,
1382, 데인 쿡,,,
1383, 다니엘 에스피노사,,,
1384, 존 카니,,,
1385, 스티브 맥퀸,,,
1386, 모튼 틸덤,,,
1387, 미츠나카 스스무,,,
1388, 에바 그린,,,
1389, 이계벽,,,
1390, 폴 왕,,,
1391, 이광재,,,
1392, 김태곤,,,
1393, 이레,,,
1394, 샤를로뜨 갱스부르,,,
1395, 조나단 드미,,,
1396, 손석우,,,
1397, 김현호,,,
1398, 리 워넬,,,
1399, 왕가위,,,
1400, 김서영,,,
1401, 나타우트 폰피리야,,,
1402, 롤랜드 에머리히,,,
1403, 돈 홀,,,
1404, 아녜스 바르다,,,
1405, 구스타보 타레토,,,
1406, 블라디미르 토로프킨,,,
1407, 현빈,,,
1408, 이영준,,,
1409, 길 정거,,,
1410, 마이크 화이트,,,
1411, 윤제완,,,
1412, 김성수,,,
1413, 고레에다 히로카즈,,,
1414, 폴로 미나구에즈,,,
1415, 앨런 테일러,,,
1416, 브라이언 헬겔랜드,,,
1417, 니콜 키드먼,,,
1418, 랜달 웰러스,,,
1419, 쥬세페 토르나토레,,,
1420, 박인제,,,
1421, 쿄고쿠 타카히코,,,
1422, 이기욱,,,
1423, 마크 월버그,,,
1424, 노덕,,,
1425, 김용균,,,
1426, 빌 콘돈,,,
1427, 에두와르도 슐츠,,,
1428, 팀 버튼,,,
1429, 로베르토 베니니,,,
1430, 에단 호크,,,
1431, 미미 레더,,,
1432, 요르고스 란티모스,,,
1433, 존 터틀타웁,,,
1434, 손지윤,,,
1435, 자비에르 피카드,,,
1436, 윌리엄 올드로이드,,,
1437, 마크 스트롱,,,
1438, 김현주,,,
1439, 모리와키 마코토,,,
1440, 폴 그린그래스,,,
1441, 박한별,,,
1442, 비욘 룬게,,,
1443, 타카야마 미나미,,,
1444, 콘래드 버논,,,
1445, 박수진,,,
1446, 토니 탕,,,
1447, 임준현,,,
1448, 야지마 테츠오,,,
1449, 그레고리 플로킨,,,
1450, 슈가,,,
1451, 노영미,,,
1452, 피트 닥터,,,
1453, 레오 리,,,
1454, 미아 한센-러브,,,
1455, 크리스티앙 드 비타,,,
1456, 타카하시 와타루,,,
1457, 세드릭 클라피쉬,,,
1458, 산드라 블록,,,
1459, 미카엘 하네케,,,
1460, 딘 데블린,,,
1461, 아리 산델,,,
1462, 마이클 윈터바텀,,,
1463, 김홍선,,,
1464, 스티브 스타놀리스,,,
1465, 장시림,,,
1466, 루퍼트 샌더스,,,
1467, 제니퍼 웨스트콧,,,
1468, 톰 맥그라스,,,
1469, 오오모리 타카히로,,,
1470, 엔조 달로,,,
1471, 권오광,,,
1472, 조근현,,,
1473, 윤상현,,,
1474, 시멘 알스빅,,,
1475, 강소연,,,
1476, 로즈 로더,,,
1477, 코모리 요시히로,,,
1478, 김인권,,,
1479, 카와이 하야토,,,
1480, 자움 콜렛 세라,,,
1481, 마이크 밀스,,,
1482, 벤 스타센,,,
1483, 허진호,,,
1484, 곽경택,,,
1485, 브래드 피트,,,
1486, 장적사,,,
1487, 마이클 더글라스,,,
1488, 뤽 베송,,,
1489, 페데 알바레즈,,,
1490, 존 웰스,,,
1491, 제임스 마쉬,,,
1492, 부르한 군,,,
1493, 헨리 유스트,,,
1494, 히라바야시 이사무,,,
1495, 오기환,,,
1496, 샘 레이미,,,
1497, 할 애쉬비,,,
1498, 제임스 그레이,,,
1499, 이종필,,,
1500, 텐 샤오펑,,,
1501, 켄타나 H. 쿠야스,,,
1502, 데이빗 레이치,,,
1503, 조 코니쉬,,,
1504, 이병헌,,,
1505, 백재호,,,
1506, 엔리크 가토,,,
1507, 윤종찬,,,
1508, 커일 칼빈,,,
1509, 김도영,,,
1510, 조니 뎁,,,
1511, 우시지마 신이치로,,,
1512, 글렌 피카라,,,
1513, 스파이크 존즈,,,
1514, 이언희,,,
1515, 장훈,,,
1516, 가스 제닝스,,,
1517, 권형진,,,
1518, 제임스 이브즈,,,
1519, 주원,,,
1520, 조하네스 로버츠,,,
1521, 피터 위어,,,
1522, 마틴 프리먼,,,
1523, 김진열,,,
1524, 크리스 맥케이,,,
1525, 오스카 아이삭,,,
1526, 주디 덴치,,,
1527, 쯔씽 쫑,,,
1528, 마이크 플래너건,,,
1529, 지오지오 세라피니,,,
1530, 바랫 낼러리,,,
1531, 니콜라스 케이지,,,
1532, 제임스 완,,,
1533, 서극,,,
1534, 엘리자베스 이토,,,
1535, 요네바야시 히로마사,,,
1536, 나카노 료타,,,
1537, 김성기,,,
1538, 마커스 하먼,,,
1539, 조의석,,,
1540, 마크 펠링톤,,,
1541, M. 나이트 샤말란,,,
1542, 폴 앤더슨,,,
1543, 리양우,,,
1544, 장 마크 발레,,,
