,director,필모그래피 개수,천만관객 뱃지 유무,수상 개수
911, 다라 오코넬,,,
912, 김지열,,,
913, 정다원,,,
914, 이선균,,,
915, 윤용진,,,
916, 마이클 그레이시,,,
917, 마크 앳킨스,,,
918, 데이비드 비스바노,,,
919, 마누크 데포얀,,,
920, 야기 류이치,,,
921, 마원,,,
922, 릴리 워쇼스키,,,
923, 존 레귀자모,,,
924, 이준익,,,
925, 아담 맥케이,,,
926, 바실리 로벤스키,,,
927, 하마구치 류스케,,,
928, 길예르모 델 토로,,,
929, 유위강,,,
930, 타셈 싱,,,
931, 바즈 루어만,,,
932, 존 R. 레오네티,,,
933, 바박 나자피,,,
934, 유선동,,,
935, 피터 램지,,,
936, 호소다 마사히로,,,
937, 엘렌 홀맨,,,
938, 조셉 고든 레빗,,,
939, 마틴 캠벨,,,
940, 앤드류 어윈,,,
941, 위성준,,,
942, 하시모토 히로유키,,,
943, 지성,,,
944, 최국희,,,
945, 라이언 스미스,,,
946, 피터 패럴리,,,
947, 앤드류 스탠튼,,,
948, 마크 스티븐 존슨,,,
949, 그레타 거윅,,,
950, 전도연,,,
951, 마이클 도허티,,,
952, 정량,,,
953, 박진표,,,
954, 제이알,,,
955, 타키모토 미오리,,,
956, 브렌튼 스웨이츠,,,
957, 히라야마 미호,,,
958, 조치언,,,
959, 이호경,,,
960, 올리버 스톤,,,
961, 틸다 스윈튼,,,
962, 신상민,,,
963, 클린트 이스트우드,,,
964, 에릭 라티고,,,
965, 크리스 피언,,,
966, 리치 무어,,,
967, 알렉산더 페인,,,
968, 데이비드 F. 샌드버그,,,
969, 엘라 콜트레인,,,
970, 샘 멘데스,,,
971, 쑤 투르한,,,
972, 안톤 옐친,,,
973, 피오나 고든,,,
974, 김정훈,,,
975, 나딘 라바키,,,
976, 미유키 우에하라,,,
977, 게일 맨쿠소,,,
978, 제이홉,,,
979, 문제용,,,
980, 요하네스 로버츠,,,
981, 스티븐 쉬블,,,
982, 하나부사 츠토무,,,
983, 자크 데미,,,
984, 강예원,,,
985, 브래드 버드,,,
986, 타케모토 야스히로,,,
987, 오자운,,,
988, 다니엘르 톰슨,,,
989, 공유,,,
990, 마틴 스코세이지,,,
991, 프랭키 첸,,,
992, 니티왓 다라톤,,,
993, 켄 스콧,,,
994, 조나단 데이턴,,,
995, 야쿱 론스키,,,
996, 앤드류 헤이,,,
997, 롭 실베스트리,,,
998, 어네스토 파드롱,,,
999, 데릭 머레이,,,
1000, 크리스 에반스,,,
1001, 존 엘리엇,,,
1002, 마크 웹,,,
1003, 강제규,,,
1004, 피터 보그다노비치,,,
1005, 박용집,,,
1006, 김강우,,,
1007, 애덤 브라운,,,
1008, 막심 고바레,,,
1009, 김종관,,,
1010, 빈센트 파로노드,,,
1011, 등위봉,,,
1012, 커스틴 쉐리단,,,
1013, 허종호,,,
1014, 윤창섭,,,
1015, 아리엘 브로멘,,,
1016, 콜 산체스,,,
1017, 덱스터 플레처,,,
1018, F. 게리 그레이,,,
1019, 이한,,,
1020, 마이크 리,,,
1021, 테이트 테일러,,,
1022, 유키사다 이사오,,,
1023, 리처드 라그라브네스,,,
1024, 브렛 래트너,,,
1025, 전인환,,,
1026, 크레이그 맥닐,,,
1027, 김수환,,,
1028, 야마모토 야스이치로,,,
1029, 발타자르 코루마쿠르,,,
1030, 홍지영,,,
