,actor,필모그래피 개수,천만관객 뱃지 유무,수상 개수
2008, 남도형,,,
2009, 조나단 리스 마이어스,,,
2010, 박영남,,,
2011, 일라이저 우드,,,
2012, 박희정,,,
2013, 크리스 브라운,,,
2014, 하석,,,
2015, 스티브 스타놀리스,,,
2016, 빌 풀만,,,
2017, 돌프 룬드그렌,,,
2018, 티라돈 수파펀핀요,,,
2019, 에릭 엘모스니노,,,
2020, 정성화,,,
2021, 크리스토프 하덱,,,
2022, 로버트 진티,,,
2023, 카와스미 아야코,,,
2024, 박상우,,,
2025, 호리카와 료,,,
2026, 정인기,,,
2027, 최낙윤,,,
2028, 서반석,,,
2029, 엠마 로버츠,,,
2030, 엘런 드제너러스,,,
2031, 니시무라 마사히코,,,
2032, 진지희,,,
2033, 데이브 프랭코,,,
2034, 숀 로버츠,,,
2035, 라이언 필립,,,
2036, 홍은택,,,
2037, 아르멘 드지가르크하니안,,,
2038, 폴 홈즈,,,
2039, 백도빈,,,
2040, 이설구,,,
2041, 안토니아 토마스,,,
2042, 시몬 압카리언,,,
2043, 마리아 데 메데이로스,,,
2044, 안나 켄드릭,,,
2045, 조지 클루니,,,
2046, 김선아,,,
2047, 카케이 토시오,,,
2048, 윌 아넷,,,
2049, 브누와 뽀엘부르드,,,
2050, 브래드리 휘트포드,,,
2051, 김용준,,,
2052, 엘리자베스 라일,,,
2053, 온주완,,,
2054, 시마자키 노부나가,,,
2055, 빌 스카스가드,,,
2056, 강하늘,,,
2057, 마원,,,
2058, 오카다 토키히코,,,
2059, 김성령,,,
2060, 닉 프로스트,,,
2061, 케네스 브래너,,,
2062, 마이클 세라,,,
2063, 누마쿠라 마나미,,,
2064, 스티브 호웨이,,,
2065, 빌 세이지,,,
2066, 슈하마 하루미,,,
2067, 제이 코트니,,,
2068, 제미마 루퍼,,,
2069, 차이나 앤 맥클레인,,,
2070, 프랑소아 다미앙,,,
2071, 노자와 마사코,,,
2072, 황도원,,,
2073, 조안나 럼리,,,
2074, 몬티 카스티네이라스,,,
2075, 이노우에 마리나,,,
2076, 에프엑스,,,
2077, 후리하타 아이,,,
2078, 신민아,,,
2079, 피어스 브로스넌,,,
2080, 클라라,,,
2081, 아예렛 주러,,,
2082, 주디 덴치,,,
2083, 킴벌리 윌리엄스-페이슬리,,,
2084, 마츠오카 마유,,,
2085, 공유,,,
2086, 니콜레타 브라스키,,,
2087, 아트 파킨슨,,,
2088, 알바 로르와처,,,
2089, 샤론 스톤,,,
2090, 제이미 폭스,,,
2091, 정혜옥,,,
2092, 코토부키 미나코,,,
2093, 신시아 닉슨,,,
2094, 에이미 라이언,,,
2095, 이봄,,,
2096, 미셸 파이퍼,,,
2097, 마리오 카사스,,,
2098, 트레이 파커,,,
2099, 정소민,,,
2100, 윤세웅,,,
2101, 챈털 로비,,,
2102, 트래비스 핌멜,,,
2103, 이용신,,,
2104, 박병은,,,
2105, 시모노 히로,,,
2106, 최귀화,,,
2107, 호리에 유이,,,
2108, 스칼릿 조핸슨,,,
2109, 세이모어 번스타인,,,
2110, 강예원,,,
2111, 홍후백,,,
2112, 황창영,,,
2113, 니노미야 케이타,,,
2114, 헤더 린드,,,
2115, 오언조,,,
2116, 노무현,,,
2117, 곽윤상,,,
2118, 줄리엣 루이스,,,
2119, 서연주,,,
2120, 릴리 프랭키,,,
2121, 제임스 뱃지 데일,,,
2122, 앰버 허드,,,
2123, 이광기,,,
2124, 김성수,,,
2125, 마크 맥케나,,,
2126, 정주원,,,
2127, 채시라,,,
2128, 크레이그 T. 넬슨,,,
2129, 라그니 그뢴블롬,,,
2130, 제시카 비엘,,,
2131, 코오로기 사토미,,,
2132, 아론 폴,,,
2133, 코리 호킨스,,,
2134, 구자형,,,
2135, 이세영,,,
2136, 황정민,,,
2137, 다코타 존슨,,,
2138, 혼다 츠바사,,,
2139, 타이 쉐리던,,,
2140, 루퍼트 그린트,,,
2141, 조재현,,,
2142, 지안,,,
2143, 강한나,,,
2144, 마틴 맥커친,,,
2145, 서교,,,
2146, 토머스 보르히 닐슨,,,
2147, 이유리,,,
2148, 주진우,,,
2149, 조세핀 랭포드,,,
2150, 잭 오코넬,,,
2151, 이아인,,,
2152, 캐서린 터너,,,
2153, 웨슬리 스나입스,,,
2154, 베티 길핀,,,
2155, 채민지,,,
2156, 류승곤,,,
2157, 헬레나 본햄 카터,,,
2158, 양동근,,,
2159, 김진영,,,
2160, 미셸 제너,,,
2161, 키엘 산체즈,,,
2162, 김민주,,,
2163, 탈리타 베이트먼,,,
2164, 토마스 이안 니콜라스,,,
2165, 브래드 피트,,,
2166, 마미 검머,,,
2167, 크리스틴 우즈,,,
2168, 진의함,,,
2169, 필립 세이모어 호프만,,,
2170, 사카모토 치카,,,
2171, 정만식,,,
2172, 칼 어번,,,
2173, 오오하라 메구미,,,
2174, 타베 미카코,,,
2175, 알레산드로 티베리,,,
2176, 카르멘 에조고,,,
2177, 로빈 맥레비,,,
2178, 매튜 맥커너히,,,
2179, 앨버트 브룩스,,,
2180, 마누엘 가르시아 룰포,,,
2181, 케이시 애플렉,,,
2182, 루시 리우,,,
2183, 심은경,,,
2184, 제프리 러쉬,,,
2185, 이경준,,,
2186, 샬롯 라일리,,,
2187, 제레미 슈어레즈,,,
2188, 샘 엘리어트,,,
2189, 오드리 토투,,,
2190, 이파니,,,
2191, 미타 원스,,,
2192, 스키트 울리치,,,
2193, 조 페시,,,
2194, 매기 그레이스,,,
2195, 테라시마 쥰타,,,
2196, 레슬리 존스,,,
2197, 조쉬 키튼,,,
2198, 홍수아,,,
2199, 마키 요코,,,
2200, 크리스 히친,,,
2201, 키스 스탠필드,,,
2202, 스기타 토모카즈,,,
2203, 김동영,,,
2204, 김영광,,,
2205, 알렉산드르 시엠체브,,,
2206, 한 메구미,,,
2207, 스테파노 디오니시,,,
2208, 딜란 스프로즈,,,
2209, 마이클 쉰,,,
2210, 매츠 랑백카,,,
2211, 리차드 E. 그랜트,,,
2212, 크리스토퍼 검머러스,,,
2213, 애니 파츠,,,
2214, 이소영,,,
2215, 빅터 슬레작,,,
2216, 오노 유우키,,,
2217, 타우픽 바롬,,,
2218, 스테파니 스콧,,,
2219, 게르 두아니,,,
2220, 이천희,,,
2221, 아이작 햄스터드 라이트,,,
2222, 송혜교,,,
2223, 김학철,,,
2224, 잭 레이너,,,
2225, 원진아,,,
2226, 제라르 드빠르디유,,,
2227, 제라르딘 제임스,,,
2228, 수잔 클레망,,,
2229, 존 존 브라이언스,,,
2230, 아녜스 바르다,,,
2231, 노영주,,,
2232, 수애,,,
2233, 담요문,,,
2234, 베키 지,,,
2235, 김정은,,,
2236, 가브리엘라 와일드,,,
2237, 드니 포달리데스,,,
2238, 도날드 서덜랜드,,,
2239, 앨리스 잉글러트,,,
2240, 미모리 스즈코,,,
2241, 한효주,,,
2242, 비티 칼리오,,,
2243, 로라 리니,,,
2244, 김정훈,,,
2245, 비비카 A. 폭스,,,
2246, 코라 켄고,,,
2247, 마일로 벤티밀리아,,,
2248, 진 핵크만,,,
2249, 마려,,,
2250, 데비 허니우드,,,
2251, 마고 마틴데일,,,
2252, 제임스 홍,,,
2253, 키티 코코넨,,,
2254, 장-루이 트린티냥,,,
2255, 라이언 콴튼,,,
2256, 이케마츠 소스케,,,
2257, 김창완,,,
2258, 정은채,,,
2259, 코린 네멕,,,
2260, 아리 아비탄,,,
2261, 조운,,,
2262, 백승영,,,
2263, 조쉬 위긴스,,,
2264, 밀리센트 시몬스,,,
2265, 휴 로리,,,
2266, 카미시라이시 모카,,,
2267, 박민지,,,
2268, 브랜든 T. 잭슨,,,
2269, 파커 포시,,,
2270, 리즈 위더스푼,,,
2271, 크리스 오다우드,,,
2272, 안영미,,,
2273, 채수빈,,,
2274, 자인 알 라피아,,,
2275, 후지와라 케이지,,,
2276, 조인성,,,
2277, 레이첼 르페브르,,,
2278, 리아오 판,,,
2279, 투레 린드하르트,,,
2280, 박희순,,,
2281, 장경부,,,
2282, 이바나 바쿠에로,,,
2283, 이호산,,,
2284, 세스 맥팔레인,,,
2285, 신현빈,,,
2286, 아키야마 유즈키,,,
2287, 제니퍼 제이슨 리,,,
2288, 전노민,,,
2289, 송지효,,,
2290, 하비에르 레이,,,
2291, 장정정,,,
2292, 사카모토 이츠키,,,
2293, 김예은,,,
2294, 니시카와 슌스케,,,
2295, 후쿠야마 마사하루,,,
2296, 엘리 세모운,,,
2297, 에드워드 제임스 올모스,,,
2298, 이아이,,,
2299, 아야노 고,,,
2300, 토마스 헤이든 처치,,,
2301, 야스미나 필라리 보넨,,,
2302, 사쿠라 아야네,,,
2303, 베론 웰스,,,
2304, 야마구치 캇페이,,,
2305, 톰 히들스턴,,,
2306, 이수진,,,
2307, 켈리 클락슨,,,
2308,전지현,,,
2309, 정유정,,,
2310, 켈시 그래머,,,
2311, 테일러 키니,,,
2312, 주이 디샤넬,,,
2313, 변현우,,,
2314, 조 스완버그,,,
2315, 박재훈,,,
2316, 곽사연,,,
2317, 로버트 숀 레오나드,,,
2318, 바네사 허진스,,,
2319, 카호,,,
2320, 쉐일린 우들리,,,
2321, 콘도 타카유키,,,
2322, 이광수,,,
2323, 민아,,,
2324, 소이현,,,
2325, 아메리카 페레라,,,
2326, 유아인,,,
2327, 사만다 비,,,
2328, 슈퍼주니어,,,
2329, 애덤 리바인,,,
2330, 현빈,,,
2331, 마이클 돕슨,,,
2332, 마리 블로쿠스,,,
2333, 엄기준,,,
2334, 이재범,,,
2335, 안토니오 반데라스,,,
2336, 알리스태어 브래머,,,
2337, 알렉산드라 마리아 라라,,,
2338, 콜린 파렐,,,
2339, 톰 홀랜드,,,
2340, 아오이 유우,,,
2341, 로랑 라피트,,,
2342, 마커스 스크리브너,,,
2343, 루시 보인턴,,,
2344, 아미 카레로,,,
2345, 행크 아자리아,,,
2346, 엔도 아야,,,
2347, 블레이크 스타델,,,
2348, 제시 어셔,,,
2349, 손은서,,,
2350, 리빙빙,,,
2351, 윌 스미스,,,
2352, 마이클 B. 조던,,,
2353, 이준,,,
2354, 케이트 베킨세일,,,
2355, 안나 데 라 레구에라,,,
2356, 젠 맥앨리스터,,,
2357, 박신희,,,
2358, 한혜진,,,
2359, 헤일리 앳웰,,,
2360, 최무성,,,
2361, 카야노 아이,,,
2362, 야지마 아키코,,,
2363, 강성우,,,
2364, 쉘리 헨닝,,,
2365, 브리안느 쥬,,,
2366, 이효제,,,
2367, 이요원,,,
2368, 루이스 맥더겔,,,
2369, 김연아,,,
2370, 애디슨 팀린,,,
2371, 이순재,,,
2372, 민디 캘링,,,
2373, 카를 크리스티안 룬드만,,,
2374, 헉 밀너,,,
2375, 이상철,,,
2376, 이민하,,,
2377, 리지 캐플란,,,
2378, 토리 켈리,,,
2379, 에미 로섬,,,
2380, 임백굉,,,
2381, 프루넬 샤를-암브롱,,,
2382, 최민식,,,
2383, 유호정,,,
2384, 데릭 제이코비,,,
2385, 제시카 랭,,,
2386, 나카 리이사,,,
2387, 린,,,
2388, 케이티 페리,,,
2389, 고성일,,,
2390, 이브라힘 페레르,,,
2391, 샘 클라플린,,,
2392, 최원형,,,
2393, 최덕희,,,
2394, 제이 바루첼,,,
2395, 타부,,,
2396, 송영인,,,
2397, 더그 존스,,,
2398, 골쉬프테 파라하니,,,
2399, 안나 와게너,,,
2400, 브라이스 달라스 하워드,,,
2401, 아일라 피셔,,,
2402, 이성열,,,
2403, 트린 디어홈,,,
2404, 키트 해링턴,,,
2405, 이나라,,,
2406, 조엘리 리차드슨,,,
2407, 아키야마 리나,,,
2408, 안내상,,,
2409, 마이클 케인,,,
2410, 오가타 켄이치,,,
2411, 이송,,,
2412, 채드 모건,,,
2413, 배성우,,,
2414, 조아킴 크롤,,,
2415, 레베카 퍼거슨,,,
2416, 힐러리 스웽크,,,
2417, 자레드 레토,,,
2418, 김소진,,,
2419, 시마다 빈,,,
2420, 브루노 살로몬,,,
2421, 성동일,,,
2422, 안홍진,,,
2423, 호 타이 화,,,
2424, 페리다 월시-필로,,,
2425, 존 허트,,,
2426, 김상경,,,
2427, 조이 킹,,,
2428, 기네스 팰트로,,,
2429, 스즈키 안,,,
2430, 쿠니무라 준,,,
2431, 안재홍,,,
2432, 알란 커밍,,,
2433, 벤 멘델슨,,,
2434, 브래드 거렛,,,
2435, 이옥새,,,
2436, 모리카와 아오이,,,
2437, 차승원,,,
2438, 톰 크루즈,,,
2439, 한신,,,
2440, 리암 헴스워스,,,
2441, 케이티 색코프,,,
2442, 뱅상 카셀,,,
2443, 제임스 아놀드 테일러,,,
2444, 제이크 웨버,,,
2445, 나이젤 하버스,,,
2446, 패트리샤 아퀘트,,,
2447, 스테파니 시그만,,,
2448, 타케우치 준코,,,
2449, 시고니 위버,,,
2450, 이장훈,,,
2451, 타일러 페리,,,
2452, 김승태,,,
2453, 테리 첸,,,
2454, 강신일,,,
2455, 조 판토리아노,,,
2456, 이나가키 고로,,,
2457, 히스 레저,,,
2458, 토빈 벨,,,
2459, 에밀리 미드,,,
2460, 니콜라이 코스터 왈도,,,
2461, 양가휘,,,
2462, 마야 패리쉬,,,
2463, 세바스찬 냅,,,
2464, 존 헨쇼,,,
2465, 한채아,,,
2466, 쿠와시마 호우코,,,
2467, 캐서린 헤이글,,,
2468, 가브리엘 베이트먼,,,
2469, 빈 디젤,,,
2470, 윤진서,,,
2471, 봉태규,,,
2472, 양유진,,,
2473, 제이슨 밋첼,,,
2474, 심이영,,,
2475, 크리스티나 리치,,,
2476, 짐 개피건,,,
2477, 이폴리트 지라르도,,,
2478, 크레이그 퍼거슨,,,
2479, 프란시스 바버,,,
2480, 그레이스 검머,,,
2481, 이승기,,,
2482, 타카하시 미나미,,,
2483, 왕경송,,,
2484, 세키 토시히코,,,
2485, 브렌튼 스웨이츠,,,
2486, 피터 유스티노프,,,
2487, 존 레귀자모,,,
2488, 남경읍,,,
2489, 코자쿠라 에츠코,,,
2490, 박지영,,,
2491, 앤쥴 리 딕슨,,,
2492, 루이스 블랙,,,
2493, 에이단 터너,,,
2494, 조성목,,,
2495, 미셸 윌리엄스,,,
2496, 하비에르 보텟,,,
2497, 세키 토모카즈,,,
2498, 마이클 매드슨,,,
2499, 돈 치들,,,
2500, 프랭크 그릴로,,,
2501, 김장겸,,,
2502, 콜린 퍼스,,,
2503, 스테링 할러웨이,,,
2504, 마크 러팔로,,,
2505, 박충선,,,
2506, 조승우,,,
2507, 필리 그로인,,,
2508, 이모겐 푸츠,,,
2509, 이이다 리호,,,
2510, 미야마 카렌,,,
2511, 킬리언 머피,,,
2512, 엄태구,,,
2513, 김대명,,,
2514, 이창환,,,
2515, 카카즈 유미,,,
2516, 오스틴 스토웰,,,
2517, 수호,,,
2518, 오웬 바카로,,,
2519, 타이 심킨스,,,
2520, 조여정,,,
2521, 임주현,,,
2522, 베네딕트 컴버배치,,,
2523, 마이클 스털버그,,,
2524, 크리스티나 톤테리 영,,,
2525, 디오,,,
2526, 문남숙,,,
2527, 박주희,,,
2528, 막스 폰 시도우,,,
2529, 데인 드한,,,
2530, 타카토 야스히로,,,
2531, 이현주,,,
2532, 쵸,,,
2533, 타이사 파미가,,,
2534, 서영희,,,
2535, 아이카와 리카코,,,
2536, 휴 보네빌,,,
2537, 글렌 클로즈,,,
2538, 다나베 세이치,,,
2539, 루크 트레더웨이,,,
2540, 미야자와 리에,,,
2541, 존 보예가,,,
2542, 장혜진,,,
2543, 현경수,,,
2544, 존 시나,,,
2545, 전광렬,,,
2546, 페이 더너웨이,,,
2547, 오라 가리도,,,
2548, 멜비 푸포,,,
2549, 루시오 마우리노,,,
2550, 치웨텔 에지오포,,,
2551, 릭 윤,,,
2552, 카라타 에리카,,,
2553, 다이안 레인,,,
2554, 박영희,,,
2555, 김보나,,,
2556, 앤 르 니,,,
2557, 조한선,,,
2558, 비,,,
2559, 오만석,,,
2560, 히라노 아야,,,
2561, 이토 아오이,,,
2562, 오구리 슌,,,
2563, 이세원,,,
2564, 박철민,,,
2565, 이시아,,,
2566, 알렉상드르 아스티에,,,
2567, 김희선,,,
2568, 남상미,,,
2569, 김상호,,,
2570, 우마 서먼,,,
2571, 미치엘 휘즈먼,,,
2572, 데이커 몽고메리,,,
2573, 나탈리아 로스미나티,,,
2574, 케빈 제임스,,,
2575, 홍광호,,,
2576, 리처드 E. 그랜트,,,
2577, 매기 질렌할,,,
2578, 마이클 패스벤더,,,
2579, 숀 펜,,,
2580, 조지 타케이,,,
2581, 계관림,,,
2582, 강호철,,,
2583, 릴리 제임스,,,
2584, 강수진,,,
2585, 치바 유다이,,,
2586, 조셉 고든 레빗,,,
2587, 미즈키 나나,,,
2588, 이연걸,,,
2589, 지나 로드리게즈,,,
2590, 미란다 하트,,,
2591, 아이비 조지,,,
2592, 타일러 포시,,,
2593, 앤디 서키스,,,
2594, 스티븐 랭,,,
2595, 제인 카,,,
2596, 아리엘 윈터,,,
2597, 키리야마 렌,,,
2598, 은정,,,
2599, 엘로디 퐁탕,,,
2600, 이승준,,,
2601, 다이앤 크루거,,,
2602, 애셔 앤젤,,,
2603, 오프라 윈프리,,,
2604, 파벨 데레비앙코,,,
2605, 페니 밸포어,,,
2606, 김영은,,,
2607, 야마지 카즈히로,,,
2608, 윌 펠츠,,,
2609, 제시 아이젠버그,,,
2610, 틸 슈바이거,,,
2611, 유준상,,,
2612, 보라,,,
2613, 루디 린,,,
2614, 나카가와 타이시,,,
2615, 클로이 모레츠,,,
2616, 조병만,,,
2617, 이시카와 유이,,,
2618, 시영준,,,
2619, 세스 로건,,,
2620, 니콜라 펠츠,,,
2621, 티모시 샬라메,,,
2622, 임태풍,,,
2623, 나카이 카즈야,,,
2624, 존 올리버,,,
2625, 김민진,,,
2626, 이진욱,,,
2627, 허먼 빙,,,
2628, 지혜,,,
2629, 최문자,,,
2630, 브리아 비나이트,,,
2631, 제프리 딘 모건,,,
2632, 진비우,,,
2633, 카밀 코탄,,,
2634, 후쿠시 소우타,,,
2635, 제이슨 베이트먼,,,
2636, 마리아 칼라스,,,
2637, 토비 켑벨,,,
2638, 엘렌 페이지,,,
2639, 캐시디 지포드,,,
2640, 매튜 폭스,,,
2641, 윤아,,,
2642, 제시카 차스테인,,,
2643, 조연우,,,
2644, 쉐릴린 펜,,,
2645, 바네사 파라디,,,
2646, 가렛 헤드룬드,,,
2647, 조경이,,,
2648, 마틴 헨더슨,,,
2649, 샬롯 르 본,,,
2650, 산나 라단,,,
2651, 애비 코니쉬,,,
2652, 이재용,,,
2653, 레니 크라비츠,,,
2654, 요시네 쿄코,,,
2655, 조디 몰라,,,
2656, 앨리슨 제니,,,
2657, 벤 반스,,,
2658, 스털링 K. 브라운,,,
2659, 라이스 웨이크필드,,,
2660, 난디타 다스,,,
2661, 스티브 카렐,,,
2662, 손나은,,,
2663, 마이구마 카츠야,,,
2664, 사이토 치와,,,
2665, 이영은,,,
2666, 에밀리 브라우닝,,,
2667, 케빈 클라인,,,
2668, 김혁,,,
2669, 강명자,,,
2670, 조던 로슨,,,
2671, 황승언,,,
2672, 캐서린 살레,,,
2673, 임지연,,,
2674, 카키하라 테츠야,,,
2675, 마리아노 마르티네즈,,,
2676, 오오하시 아야카,,,
2677, 임화영,,,
2678, 최한,,,
2679, 송운화,,,
2680, 브루노 비치어,,,
2681, 키아누 리브스,,,
2682, 아티피치 추티와칸존차이,,,
2683, 하성용,,,
2684, 윤유선,,,
2685, 사라 실버맨,,,
2686, 바비 카나베일,,,
2687, 마크 라이런스,,,
2688, 톰 하디,,,
2689, 딕 반 다이크,,,
2690, 드웨인 존슨,,,
2691, 애덤 G. 세바니,,,
2692, 유민,,,
2693, 에이미 아담스,,,
2694, 타네자키 아츠미,,,
2695, 찬성,,,
2696, 김영재,,,
2697, 헤르만 사바도,,,
2698, 최진호,,,
2699, 도로시 앳킨슨,,,
2700, 김규리,,,
2701, 치아키,,,
2702, 윤아영,,,
2703, 패튼 오스왈트,,,
2704, 김태리,,,
2705, 슈퍼주니어-m,,,
2706, 나애진,,,
2707, 제이본 워너 월튼,,,
2708, 이레,,,
2709, 핀 위트록,,,
2710, 아드리아노 타르디올로,,,
2711, 비니 펜나,,,
2712, 에밀리아 클라크,,,
2713, 소지섭,,,
2714, 전미선,,,
2715, 이현,,,
2716, 안나 파킨,,,
2717, 벤 슈와츠,,,
2718, 신하균,,,
2719, 아스미 카나,,,
2720, 줄리안 맥마혼,,,
2721, 하정우,,,
2722, 류현경,,,
2723, 줄리 델피,,,
2724, 살바토레 카스치오,,,
2725, 베레니스 베조,,,
2726, 박효주,,,
2727, 샤뮤스 데이비 핏츠패트릭,,,
2728, 장석준,,,
2729, 스테파냐 카시니,,,
2730, 에바 멘데스,,,
2731, 레아 세이두,,,
2732, 제니퍼 러브 휴잇,,,
2733, 이원종,,,
2734, 이선,,,
2735, 류아벨,,,
2736, 박사랑,,,
2737, 저스틴 팀버레이크,,,
2738, 하마다 코코네,,,
2739, 피터 세라피노윅,,,
2740, 다케노우치 유타카,,,
2741, 크리스토퍼 파파칼리아티스,,,
2742, 윤용식,,,
2743, 김춘희,,,
2744, 타카나시 켄고,,,
2745, 윤박,,,
2746, 제시 멧칼피,,,
2747, 양조위,,,
2748, T.O.P,,,
2749, 피터 딘클리지,,,
2750, 동방신기,,,
2751, 로사리오 도슨,,,
2752, 동자건,,,
2753, 로버트 네이러,,,
2754, 톰 펠튼,,,
2755, 알렉산드라 로치,,,
2756, 게리 스트레치,,,
2757, 브리아나 에비건,,,
2758, 콜 스프로즈,,,
2759, 모니아 초크리,,,
2760, 에이미 세다리스,,,
2761, 엘라 퍼넬,,,
2762, 트레버 드볼,,,
2763, 레이븐 애덤슨,,,
2764, 오은수,,,
2765, 조엘 킨나만,,,
2766, 제인 린치,,,
2767, 스테파니 보그트,,,
2768, 프랑수아 제르비에 드메종,,,
2769, 카라 헤이워드,,,
2770, 이솜,,,
2771, 레인 윌슨,,,
2772, 변희봉,,,
2773, 폴 매카트니,,,
2774, 이동휘,,,
2775, 코비 스멀더스,,,
2776, 멜라니 로랑,,,
2777, 조한철,,,
2778, 야마다 유키,,,
2779, 헤더 고든,,,
2780, 오가타 메구미,,,
2781, 르네 젤위거,,,
2782, 이우라 아라타,,,
2783, 고지마 후지코,,,
2784, 마츠모토 준,,,
2785, 곽지혜,,,
2786, 오견,,,
2787, 가보리 시디베,,,
2788, 데이브 바티스타,,,
2789, 플라비오 파렌티,,,
2790, 미란다 오토,,,
2791, 라이언 슈즈,,,
2792, 우에토 아야,,,
2793, 딜런 오브라이언,,,
2794, 신송이,,,
2795, 라프 스팰,,,
2796, 맷 보머,,,
2797, 심희섭,,,
2798, 엘예스 가벨,,,
2799, 데이비드 보트,,,
2800, 이미숙,,,
2801, 레이크 벨,,,
2802, 노판 찬타라손,,,
2803, 톰 테일러,,,
2804, 김승우,,,
2805, 김원명,,,
2806, 와타나베 마리나,,,
2807, 제이알,,,
2808, 문유정,,,
2809, 제니 슬레이트,,,
2810, 아야세 하루카,,,
2811, 도미닉 레인스,,,
2812, 애나벨 월리스,,,
2813, 이미자,,,
2814, 우상전,,,
2815, 김수현,,,
2816, 루크 그림즈,,,
2817, 주카 닐런드,,,
2818, 진영,,,
2819, 매디슨 린츠,,,
2820, 유가령,,,
2821, 이수경,,,
2822, 홍범기,,,
2823, 돌리 웰스,,,
2824, 고아라,,,
2825, 신주환,,,
2826, 김태훈,,,
2827, 올리비에 구르메,,,
2828, 장현성,,,
2829, 젠데이아 콜먼,,,
2830, 조쉬 허처슨,,,
2831, 조태환,,,
2832, 강시현,,,
2833, 엠마 톰슨,,,
2834, 정재우,,,
2835, 알랭 샤바,,,
2836, 오마 사이,,,
2837, 아뉴린 바나드,,,
2838, 타테이시 하루카,,,
2839, 에도아도 가브리엘리니,,,
2840, 손정아,,,
2841, 난바 쇼헤이,,,
2842, 맥켄지 포이,,,
2843, 미아 와시코브스카,,,
2844, 짐 브로드벤트,,,
2845, 존 갤러거 주니어,,,
2846, 니콜 키드먼,,,
2847, 샤를로뜨 갱스부르,,,
2848, 장경희,,,
2849, 이종석,,,
2850, 최승훈,,,
2851, 송보은,,,
2852, 존 C. 라일리,,,
2853, 조나단 실버맨,,,
2854, 제임스 벨루시,,,
2855, 김채하,,,
2856, 에릭 바나,,,
2857, 플로렌스 퓨,,,
2858, 브루클린 프린스,,,
2859, 이호재,,,
2860, 홍진욱,,,
2861, 피터 퍼스,,,
2862, 데미 로바토,,,
2863, 조성우,,,
2864, 다니엘 제롤,,,
2865, 임형국,,,
2866, 엘리 켐퍼,,,
2867, 켈리 라일리,,,
2868, 김연우,,,
2869, 누리아 트리폴,,,
2870, 헤더 소서맨,,,
2871, 시모네 라비브,,,
2872, 하연수,,,
2873, 앨리스 이브,,,
2874, 랜스 임,,,
2875, 소피아 부텔라,,,
2876, 한수아,,,
2877, 리브 타일러,,,
2878, 안나소피아 롭,,,
2879, 클락 그레그,,,
2880, 마루야마 아츠시,,,
2881, 콘스탄스 우,,,
2882, 조 크라비츠,,,
2883, 루카스 헤지스,,,
2884, 아이작 레이바,,,
2885, 메이건 파크,,,
2886, 김다미,,,
2887,류승범,,,
2888, 박리나,,,
2889, 셀리아 아임리,,,
2890, 신지뢰,,,
2891, 여진구,,,
2892, 에이미 사빌레,,,
2893, 진,,,
2894, 데이빗 오예로워,,,
2895, 매디슨 아이스먼,,,
2896, 류승범,,,
2897, 윤미나,,,
2898, 티에리 프레몽,,,
2899, 피오나 고든,,,
2900, 조안,,,
2901, 라이언 고슬링,,,
2902, 존 말코비치,,,
2903, 테오 제임스,,,
2904, 알렉산드라 다드다리오,,,
2905, 이시다 타쿠야,,,
2906, 유리 로웬탈,,,
2907, 전후석,,,
2908, 지미애,,,
2909, 레드벨벳,,,
2910, 케빈 스페이시,,,
2911, 마이클 K. 윌리엄즈,,,
2912, 스기야마 노리아키,,,
2913, 블라디미르 티기쵸브,,,
2914, 랍 코드리,,,
2915, 이노우에 마사히로,,,
2916, 맥케나 그레이스,,,
2917, 전수경,,,
2918, EXO,,,
2919, 토마스 제인,,,
2920, 레이 피셔,,,
2921, 에드리언 보쳇,,,
2922, 미야자키 아오이,,,
2923, 조지스 게레,,,
2924, 바바 료마,,,
2925, 최강희,,,
2926, 송유담,,,
2927, 사토 사토미,,,
2928, 이오인 맥큰,,,
2929, 아담 드바인,,,
2930, 캐시디 프리먼,,,
2931, 안도 사쿠라,,,
2932, 랜디 커투어,,,
2933, 타이라 아이리,,,
2934, 테이텀 오닐,,,
2935, 김옥경,,,
2936, 스티븐 연,,,
2937, 미야노 마모루,,,
2938, 송강호,,,
2939, 허준호,,,
2940, 타라지 P. 헨슨,,,
2941, 진백림,,,
2942, 토니 콜렛,,,
2943, 한경화,,,
2944, 유즈키 료카,,,
2945, 김남길,,,
2946, 파드마 앙뚜,,,
2947, 피터 파시넬리,,,
2948, 이민기,,,
2949, 장 위그 앙글라드,,,
2950, 루시 헤일,,,
2951, 고원희,,,
2952, 존 레논,,,
2953, 정재호,,,
2954, 존 보이트,,,
2955, 타라 스트롱,,,
2956, 차성덕,,,
2957, 존 캐럴 린치,,,
2958, 유인영,,,
2959, 마이클 오우수,,,
2960, 제임스 헷필드,,,
2961, 릴리 라인하트,,,
2962, 알렉세이 프란데티,,,
2963, 머라이어 캐리,,,
2964, 존 라이스 데이비스,,,
2965, 안셀 엘고트,,,
2966, 양익준,,,
2967, 김혜자,,,
2968, 엘리자베스 데비키,,,
2969, 줄리 보웬,,,
2970, 가브리엘 루나,,,
2971, 레이몬드 오초아,,,
2972, 앨리 리버트,,,
2973, 로빈 윌리엄스,,,
2974, 비비안 마이어,,,
2975, 조니 웨스턴,,,
2976, 에릭 스톤스트릿,,,
2977, 오오츠카 아키오,,,
2978, 곽규미,,,
2979, 손종환,,,
