name,nation,rep_nation,distributor,date3,month,year,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,sales_share,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
"가장 따뜻한 색, 블루",프랑스,프랑스,판씨네마(주),2014.1.16,1,2014,383246700,49849,53,1626,기타,2,0,청소년 관람불가,180,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,18580,8.96,466142.8571,7.988571429
가장 보통의 연애,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019.10.2,10,2019,24885803430,2924563,1073,111527,한국,2,1,15세 관람가,109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.30%,0,0,1515149,8.087857143
간신,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2015.5.21,5,2015,8946842910,1110246,697,40580,한국,5,1,청소년 관람불가,131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.50%,597339.25,7.91125,3161695.411,7.538047619
감기,한국,한국,아이러브시네마,2013.8.14,8,2013,21774884000,3117859,806,55046,한국,0,0,15세 관람가,121,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.40%,0,0,1820176.958,7.341770833
감바의 대모험,일본,일본,(주)영화사 빅,2016.11.10,11,2016,874685700,117488,400,4735,기타,8,0,전체 관람가,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,0,0,69687.70833,8.412333333
감시자들,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2013.7.3,7,2013,39380162179,5508017,949,100309,한국,3,1,15세 관람가,119,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2.50%,4527500,7.696875,891336.0317,7.647579365
감쪽같은 그녀,한국,한국,메가박스중앙(주)플러스엠,2019.12.4,12,2019,3594862790,469296,761,24843,한국,2,0,전체 관람가,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20%,685000,7.6925,4063403.024,8.316547619
갓 오브 이집트,미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016.3.3,3,2016,7621291624,919834,618,35323,미국,4,0,12세 관람가,126,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.40%,1016666.667,8.22,551054.5679,7.93225
강남 1970,한국,한국,(주)쇼박스,2015.1.21,1,2015,17718699499,2192276,841,53304,한국,3,1,청소년 관람불가,135,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.00%,1681666.667,7.615,1449119.063,7.904444444
강철비,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017.12.14,12,2017,35489576466,4452740,2028,80358,한국,4,1,15세 관람가,142,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.20%,5873333.333,8.66,1224780.524,7.491755952
강철비,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2017.12.14,12,2017,31994897566,4014293,1426,66760,한국,4,1,15세 관람가,142,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.80%,5873333.333,8.66,1224780.524,7.491755952
개구리왕국,중국,중국,예지림엔터테인먼트,2015.11.12,11,2015,362895100,53576,227,1971,기타,6,0,전체 관람가,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,14000,6.73,1330341.896,7.471041667
개구쟁이 스머프 2,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013.8.1,8,2013,5993979500,921788,478,15485,미국,11,1,전체 관람가,104,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40%,251412.1,7.850535714,550110.0521,7.563958333
개들의 섬,미국,미국,이십세기폭스코리아(주),2018.6.21,6,2018,288664100,33229,121,2183,미국,7,1,12세 관람가,101,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,187712,8.472,150394.8413,8.159642857
개를 훔치는 완벽한 방법,한국,한국,"(주)리틀빅픽쳐스,(주)대명문화공장",2014.12.31,12,2014,2328284965,306192,404,8826,한국,8,0,전체 관람가,109,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10%,134176.6667,7.418333333,881628.7036,7.923738095
