"","name","date","sales","sales_share","boxoffice_num","num_of_screen","rep_nation","nation","num_of_screenings","distributor","director1","director2","director3","director4","director5","director6","director7","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10","actor11","actor12","actor13","actor14","actor15","actor16","date2","month","year","y","director8","director9","actor17","actor18","actor19","nation2"
"410","벽 속에 숨은 마법시계","2018.10.31","1,654,715,300","0.1%","215,029","609","14,005","미국","미국","CGV아트하우스"," 일라이 로스","","","","","",""," 잭 블랙"," 케이트 블란쳇"," 오웬 바카로","","","","","","","","","","","","","","0","10","2018",18,"","","","","","2"
"411","허리케인 하이스트","2018.3.14","1,730,262,848","0.1%","214,949","544","16,363","미국","미국","(주)넥스트엔터테인먼트월드(NEW)"," 롭 코헨","","","","","",""," 토비 켑벨"," 매기 그레이스"," 라이언 콴튼","","","","","","","","","","","","","","0","03","2018",18,"","","","","","2"
"412","한 솔로: 스타워즈 스토리","2018.5.24","1,964,276,778","0.1%","213,980","569","14,818","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 론 하워드","","","","","",""," 엘든 이렌리치"," 에밀리아 클라크"," 우디 해럴슨"," 폴 베타니","","","","","","","","","","","","","0","05","2018",18,"","","","","","2"
"413","콜 미 바이 유어 네임","2018.3.22","1,663,750,988","0.1%","198,945","192","10,218","이탈리아","이탈리아,프랑스,브라질,미국","(주)디스테이션,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"," 루카 구아다니노","","","","","",""," 티모시 샬라메"," 아미 해머","","","","","","","","","","","","","","","0","03","2018",18,"","","","","","3"
"414","나미야 잡화점의 기적","2018.2.28","1,456,136,885","0.1%","191,988","532","10,240","일본","일본","(주)이수C&E","","","","","","","","","","","","","","","","","","","","","","","","0","02","2018",18,"","","","","","3"
"415","업그레이드","2018.9.6","1,743,757,800","0.1%","190,387","220","11,549","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)","","","","","","","","","","","","","","","","","","","","","","","","0","09","2018",18,"","","","","","2"
"416","런닝맨 : 풀룰루의 역습","2018.12.5","1,420,218,750","0.1%","186,912","511","5,521","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 윤준상","","","","","",""," 김서영"," 권창욱"," 엄상현"," 김연우"," 강시현"," 전태열","","","","","","","","","","","0","12","2018",18,"","","","","","1"
"417","극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이","2018.6.6","1,394,555,400","0.1%","183,421","588","6,839","일본","일본","(주)이수C&E"," 유야마 쿠니히코","","","","","",""," 임채헌"," 이선호"," 정미숙"," 변영희"," 오오타니 이쿠에"," 마츠모토 리카"," 우에다 유지","","","","","","","","","","0","06","2018",18,"","","","","","3"
"418","극장판 도라에몽: 진구의 보물섬","2018.8.15","1,375,508,400","0.1%","183,220","463","5,488","일본","일본","(주)이수C&E","","","","","","","","","","","","","","","","","","","","","","","","0","08","2018",18,"","","","","","3"
"419","원더","2017.12.27","1,378,217,489","0.1%","181,938","183","7,407","미국","미국","CGV아트하우스,그린나래미디어(주)"," 스티븐 크보스키","","","","","",""," 제이콥 트렘블레이"," 줄리아 로버츠"," 오웬 윌슨"," 이자벨라 비도빅","","","","","","","","","","","","","0","12","2017",18,"","","","","","2"
"420","유전","2018.6.7","1,564,910,938","0.1%","177,647","422","9,327","미국","미국","(주)팝엔터테인먼트"," 줄리아 하트","","","","","",""," 구구 바샤-로"," 데이빗 스트라탄"," 로레인 투세인트","","","","","","","","","","","","","","0","06","2018",18,"","","","","","2"
"421","더 프레데터","2018.9.12","1,502,022,014","0.1%","170,878","582","17,579","미국","미국","이십세기폭스코리아(주)"," 셰인 블랙","","","","","",""," 보이드 홀브룩"," 올리비아 문"," 트래반트 로즈"," 스털링 K. 브라운"," 제이콥 트렘블레이"," 키건 마이클 키","","","","","","","","","","","0","09","2018",18,"","","","","","2"
"422","어느 가족","2018.7.26","1,411,660,900","0.1%","170,743","126","5,685","일본","일본","(주)티캐스트"," 고레에다 히로카즈","","","","","",""," 릴리 프랭키"," 안도 사쿠라"," 마츠오카 마유"," 키키 키린"," 죠 카이리"," 사사키 미유","","","","","","","","","","","0","07","2018",18,"","","","","","3"
"423","극장판 포켓몬스터 모두의 이야기","2018.12.19","1,314,100,400","0.1%","169,677","493","4,484","일본","일본","(주)이수C&E"," 야지마 테츠오","","","","","",""," 마츠모토 리카"," 오오타니 이쿠에","","","","","","","","","","","","","","","0","12","2018",18,"","","","","","3"
"424","극장판 요괴워치 섀도사이드: 도깨비왕의 부활","2018.9.20","1,205,873,200","0.1%","157,689","454","5,398","일본","일본","(주)씨제이이엔엠"," 우시로 신지","","","","","",""," 여민정"," 한채언"," 김지율"," 홍범기"," 소정환"," 강성우"," 신용우"," 이호산"," 카미시라이시 모네"," 치바 유다이"," 타무라 무츠미"," 세키 토모카즈"," 쿠로다 타카야","","","","0","09","2018",18,"","","","","","3"
