,X,name,nation,rep_nation,distributor,director1,director2,director3,director4,director5,director6,director7,director8,director9,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46,date3,month,year,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,sales_share,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
23,1673,5일의 마중,중국,중국,찬란, 장이머우,,,NA,NA,NA,NA,NA,NA, 진도명, 공리, 장혜문,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.10.8,10,2014,406479100,54325,86,2779,기타,3,0,전체 관람가,109,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,93517.33333,7.814,97000,8.4725
24,1739,60만번의 트라이,한국,"한국,일본",㈜인디스토리,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.9.18,9,2014,147541300,21239,76,1605,한국,0,0,12세 관람가,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,22000,9.18,730289.0095,8.379642857
25,372,7년의 밤,한국,한국,(주)씨제이이엔엠, 추창민,,,,,,,,, 장동건, 류승룡, 송새벽, 고경표,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.3.28,3,2018,3969337524,528007,872,26804,한국,4,1,15세 관람가,123,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20%,3514000,8.201428571,2079328.418,7.352491071
26,825,7번째 내가 죽던 날,미국,미국,(주)키다리이엔티, 라이 루소 영,,,,NA,NA,NA,NA,NA, 조이 도이치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.5.31,5,2017,261910400,34567,230,2587,미국,1,0,15세 관람가,99,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.00%,35000,7.21,49250,8.06
27,1350,7번째 아들,미국,"미국,영국,캐나다",유니버설픽쳐스인터내셔널 코리아(유), 세르게이 보드로프,,NA,NA,NA,NA,NA,NA,NA, 제프 브리지스, 벤 반스, 줄리안 무어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.2.11,2,2015,729980451,92598,358,7396,미국,3,1,12세 관람가,102,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,46584,7.015,432469.5238,7.972142857
28,700,7호실,한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이용승,,,,NA,NA,NA,NA,NA, 신하균, 디오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.11.15,11,2017,2677284639,347790,629,21846,한국,2,1,15세 관람가,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,502506.8333,7.225,3799375,8.276607143
29,14,82년생 김지영,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 김도영,,,,,,,NA,NA, 정유미, 공유,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.10.23,10,2019,30298542310,3678156,1486,145441,한국,2,1,12세 관람가,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.60%,1012,7.05,4153750,8.4925
30,2011,8월의 크리스마스,한국,한국,"한국영상투자개발(주),(주)싸이더스", 허진호,,,,NA,NA,NA,NA,NA, 한석규, 심은하,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013.11.7,11,2013,164902000,23518,71,2280,한국,2,0,15세 관람가,97,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.00%,1718000,7.228333333,2037500,7.508125
31,1116,BIFAN2016 판타스틱 단편 걸작선 1,기타,기타,,,,,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,258603000,43003,5,210,기타,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0
32,229,BIFAN2019 판타스틱 단편 걸작선 1,한국,한국,, 노영미, 강소연, 김태진, 이민섭, 이광재,,,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.7.3,7,2019,1.50E+08,25000,5,125,한국,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,25000,0,0,0
33,560,B급 며느리,한국,한국,"(주)에스와이코마드,글뫼 주식회사", 선호빈,,,,,,,,, 김진영, 조경숙,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.1.17,1,2018,154328100,19843,60,1911,한국,2,0,12세 관람가,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00%,5096.5,9.04,2013092.5,7.249821429
34,1728,GROW: 인피니트의 리얼 청춘 라이프,한국,한국,골든타이드픽처스(주), 김진수,,,NA,NA,NA,NA,NA,NA, 인피니트,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.12.4,12,2014,189409200,23865,71,824,한국,1,0,전체 관람가,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00%,0,0,161661.75,7.4725
35,73,PMC: 더 벙커,한국,한국,(주)씨제이이엔엠, 김병우,,,,,,,NA,NA, 하정우, 이선균,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.12.26,12,2018,14024838424,1671548,1974,49806,한국,2,1,15세 관람가,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.20%,3716394.5,7.412333333,3629666.667,7.794833333
36,348,PMC: 더 벙커,한국,한국,(주)씨제이이엔엠, 김병우,,,,,,,,, 하정우, 이선균,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.12.26,12,2018,9704247367,1179031,1081,26690,한국,2,1,15세 관람가,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.50%,3716394.5,7.412333333,3629666.667,7.794833333
37,1939,R.I.P.D. : 알.아이.피.디.,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 로베르트 슈벤트케,,,,NA,NA,NA,NA,NA, 라이언 레이놀즈, 제프 브리지스, 케빈 베이컨,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013.8.22,8,2013,725451071,101460,268,5744,미국,3,1,15세 관람가,95,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.00%,242001,7.401428571,382285.0714,8.426984127
38,1762,가구야공주 이야기,일본,일본,롯데쇼핑㈜롯데엔터테인먼트, 다카하타 이사오,,,NA,NA,NA,NA,NA,NA, 아사쿠라 아키, 코라 켄고,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.6.4,6,2014,125582300,16439,77,994,기타,2,1,전체 관람가,137,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00%,9260.5,8.094285714,72405,8.263333333
39,2031,가디언즈,미국,미국,(주)씨제이이엔엠, 사릭 안드레아시안,,,,NA,NA,NA,NA,NA, 세바스티안 시삭, 안톤 팜부쉬니, 산자르 마디에브, 알리나 라니나,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012.11.29,11,2012,130597500,19598,53,613,미국,4,1,12세 관람가,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,2563,4.82375
40,828,가디언즈 오브 갤럭시,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 제임스 건,,,,NA,NA,NA,NA,NA, 크리스 프랫, 조 샐다나, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.4.20,4,2017,292578500,33129,77,1747,미국,5,1,12세 관람가,136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.00%,5587750,8.785166667,3751935.946,8.463089286
41,1544,가디언즈 오브 갤럭시,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 제임스 건,,,NA,NA,NA,NA,NA,NA, 크리스 프랫, 조 샐다나, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.7.31,7,2014,11098239184,1311190,539,22417,미국,5,1,12세 관람가,136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.70%,5587750,8.785166667,3751935.946,8.463089286
42,621,가디언즈 오브 갤럭시 VOL. 2,미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 제임스 건,,,,NA,NA,NA,NA,NA, 크리스 프랫, 조 샐다나, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017.5.3,5,2017,23452686686,2735721,1218,63789,미국,5,1,12세 관람가,136,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.30%,5587750,8.785166667,3751935.946,8.463089286
43,976,가려진 시간,한국,한국,(주)쇼박스, 엄태화,,,,NA,NA,NA,NA,NA, 강동원, 신은수, 이효제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016.11.16,11,2016,3946462400,510878,884,30404,한국,3,1,12세 관람가,129,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20%,96967,7.906666667,2071140.403,7.706388889
44,1921,가문의 영광5 - 가문의 귀환,한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 정용기,,,,NA,NA,NA,NA,NA, 정준호, 김민정, 유동근, 성동일, 박상욱, 박근형, 윤두준, 왕석현, 유혜정, 김태환, 손나은, 황광희, 유민,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012.12.19,12,2012,1085286000,147798,224,6856,한국,13,1,15세 관람가,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,0,0,1556943.125,7.455658163
45,119,가버나움,기타,기타,"그린나래미디어(주),플레이리스트(주)", 나딘 라바키,,,,,,,NA,NA, 자인 알 라피아, 요르다노스 시프로우,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.1.24,1,2019,1196849219,145017,111,5360,기타,2,0,15세 관람가,126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10%,37118.5,8.653333333,140000,9.54
46,1631,가시,한국,한국,(주)인벤트스톤,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014.4.10,4,2014,1095301000,142170,356,11622,한국,0,0,청소년 관람불가,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.10%,0,0,668524.3016,7.531587302
47,2097,"가자, 장미여관으로",한국,한국,(주)팝파트너스, 김봉은,,,,NA,NA,NA,NA,NA, 서연주, 이종준,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013.8.14,8,2013,29545500,8307,21,113,한국,2,0,청소년 관람불가,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00%,2105.666667,5.458,3905000,7.69
