,name,nation,rep_nation,distributor,director1,director2,director3,director4,director5,director6,director7,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,month,year,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,genre
1837,스타트렉 다크니스,미국,미국,(주)씨제이이엔엠, J.J. 에이브럼스,,,,NA,NA,NA, 크리스 파인, 재커리 퀸토, 조 샐다나, 베네딕트 컴버배치, 칼 어번, 사이먼 페그, 안톤 옐친, 존 조, 앨리스 이브,,,,,NA,NA,NA,5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12964828000,1605271,607,40504,미국,9,1,12세 관람가,132,   액션  모험  sf 
1838,라이프 오브 파이,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)", 이안,,,,NA,NA,NA, 수라즈 샤르마, 이르판 칸,,,,,,,,,,,,NA,NA,NA,1,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15812506500,1588373,392,32722,미국,2,1,전체 관람가,127,    모험  드라마  판타지 
1839,오블리비언,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 조셉 코신스키,,,,NA,NA,NA, 톰 크루즈, 모건 프리먼, 올가 쿠릴렌코,,,,,,,,,,,NA,NA,NA,4,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11165841500,1515356,634,47871,미국,3,1,15세 관람가,124, 액션  sf 
1840,위대한 개츠비,미국,"미국,호주",워너브러더스 코리아(주), 바즈 루어만,,,,NA,NA,NA, 레오나르도 디카프리오, 캐리 멀리건, 토비 맥과이어, 조엘 에저튼, 아일라 피셔,,,,,,,,,NA,NA,NA,5,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10581329643,1445248,562,36008,미국,5,1,15세 관람가,141,   드라마   멜로/로맨스 
1841,다이하드: 굿 데이 투 다이,미국,미국,이십세기폭스코리아(주), 존 무어,,,,NA,NA,NA, 브루스 윌리스, 제이 코트니, 메리 엘리자베스 윈스티드,,,,,,,,,,,NA,NA,NA,2,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10825703000,1438056,459,33055,미국,3,1,15세 관람가,96,      액션  범죄  스릴러 
1842,런닝맨,한국,"한국,미국",이십세기폭스코리아(주),,,,,NA,NA,NA,,,,,,,,,,,,,,NA,NA,NA,4,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10060239500,1422844,567,45995,한국,0,1,15세 관람가,67,      애니메이션 
1843,미스터 고,한국,"한국,중국",(주)쇼박스, 김용화,,,,NA,NA,NA, 성동일, 서교,,,,,,,,,,,,NA,NA,NA,7,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9337976000,1328888,840,38263,한국,2,1,12세 관람가,132,   드라마  코미디  액션 
1844,결혼전야,한국,한국,씨너스엔터테인먼트(주), 홍지영,,,,NA,NA,NA, 김강우, 김효진, 이연희, 택연, 마동석, 구잘 투르수노바, 이희준, 고준희, 주지훈,,,,,NA,NA,NA,11,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8434175719,1212843,524,38819,한국,9,NA,15세 관람가,118, 멜로/로맨스  코미디 
1845,깡철이,한국,한국,(주)씨제이이엔엠, 안권태,,,,NA,NA,NA, 유아인, 김해숙,,,,,,,,,,,,NA,NA,NA,10,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8572344462,1209363,707,43102,한국,2,1,15세 관람가,108, 가족 
1846,엘리시움,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 닐 블롬캠프,,,,NA,NA,NA, 맷 데이먼, 조디 포스터, 샬토 코플리,,,,,,,,,,,NA,NA,NA,8,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9017994500,1207732,588,31515,미국,3,1,청소년 관람불가,109, sf  액션  드라마 
