idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31
194,파라노말 액티비티: 더 고스트 디멘션,2016.4.21,"454,055,200",0.0%,"54,972",353,"5,654",미국,미국,(주)박수엔터테인먼트, 그레고리 플로킨,,,, 크리스 J. 머레이, 브릿 쇼, 아이비 조지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,순종,2016.11.17,"384,957,200",0.0%,"54,456",104,"2,122",한국,한국,"(재)CBS,(주)영화사 안다미로",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,잡아야 산다,2016.1.7,"410,361,400",0.0%,"54,450",219,"3,187",한국,한국,오퍼스픽쳐스(유), 오인천,,,, 김승우, 김정태, 혁,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,뽀로로 극장판 컴퓨터 왕국 대모험,2015.12.10,"392,627,100",0.0%,"53,939",151,"2,024",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 박영균,,,, 이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진, 엄상현,,,,,,,,,,,,,,,,,,,,,,,
198,"나, 다니엘 블레이크",2016.12.8,"426,846,300",0.0%,"53,852",63,"2,384",영국,영국,(주)영화사 진진, 켄 로치,,,, 데이브 존스, 헤일리 스콰이어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,브루클린,2016.4.21,"412,985,600",0.0%,"51,106",40,"2,148",미국,미국,이십세기폭스코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,포레스트: 죽음의 숲,2016.3.30,"391,633,862",0.0%,"50,631",312,"4,507",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제이슨 자다,,,, 나탈리 도머, 테일러 키니, 이오인 맥큰, 오자와 유키요시, 스테파니 보그트,,,,,,,,,,,,,,,,,,,,,,,,,,
201,마음이 외치고 싶어해,2016.3.30,"405,854,600",0.0%,"49,832",122,"3,718",일본,일본,"주식회사 온 피크,스튜디오 프로그레시브 인큐베이터", 쿠마자와 나오토,,,, 나카지마 켄토, 요시네 쿄코, 이시이 안나, 칸이치로,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,바닷마을 다이어리,2015.12.17,"409,929,900",0.0%,"49,069",64,"1,643",일본,일본,(주)티캐스트, 고레에다 히로카즈,,,, 아야세 하루카, 나가사와 마사미, 카호, 히로세 스즈,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,우리들,2016.6.16,"356,563,960",0.0%,"47,969",76,"3,470",한국,한국,(주)엣나인필름, 윤가은,,,, 최수인, 설혜인, 이서연, 강민준,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,목숨 건 연애,2016.12.14,"361,668,800",0.0%,"47,805",393,"5,786",한국,"한국,대만,중국",오퍼스픽쳐스(유), 송민규,,,, 하지원, 천정명, 진백림,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,머니 몬스터,2016.8.31,"367,961,600",0.0%,"47,226",151,"5,014",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 조디 포스터,,,, 조지 클루니, 줄리아 로버츠, 케이트리오나 발피, 잭 오코넬,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,트리플 9,2016.4.20,"365,164,300",0.0%,"47,197",329,"5,792",미국,미국,(주)리틀빅픽쳐스, 존 힐코트,,,, 치웨텔 에지오포, 케이시 애플렉, 케이트 윈슬렛, 안소니 마키, 아론 폴, 클리프톤 콜린스 주니어, 노만 리더스, 갤 가돗, 우디 해럴슨,,,,,,,,,,,,,,,,,,,,,,
207,엽문3: 최후의 대결,2016.3.10,"393,068,600",0.0%,"46,970",130,"4,300",홍콩,홍콩,(주)키다리이엔티, 엽위신,,,, 견자단, 슝다이린, 장진, 담요문, 마이크 타이슨,,,,,,,,,,,,,,,,,,,,,,,,,,
208,굿 윌 헌팅,1998.3.21,"360,845,800",0.0%,"46,847",85,"1,836",미국,미국,(주)영화사오원, 구스 반 산트,,,, 맷 데이먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,갤럭시 히어로즈: 라쳇 앤 클랭크,2016.8.17,"336,281,100",0.0%,"46,638",237,"2,267",미국,미국,(주)영화사 빅, 케빈 먼로,,,, 제임스 아놀드 테일러, 폴 지아마티, 벨라 손, 데이비드 카에, 브래드 스웨일, 이안 제임스 코렛, 존 굿맨, 로사리오 도슨, 실베스터 스탤론,,,,,,,,,,,,,,,,,,,,,,
210,하드코어 헨리,2016.5.19,"399,211,211",0.0%,"46,373",239,"3,060",미국,"미국,러시아","㈜코리아스크린,와이드 릴리즈(주)", 일리야 나이슐러,,,, 샬토 코플리, 헤일리 베넷, 팀 로스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,블레어 위치,2016.11.23,"367,484,200",0.0%,"46,285",172,"3,608",미국,미국,㈜코리아스크린, 애덤 윈가드,,,, 칼리 헤르난데스, 제임스 앨런 맥퀸, 코빈 리드, 발로리 커리, 웨스 로빈슨, 브랜던 스콧,,,,,,,,,,,,,,,,,,,,,,,,,
212,미스 사이공 : 25주년 특별 공연,2016.11.24,"891,218,300",0.1%,"46,080",100,"1,756",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 브렛 설리반,,,, 알리스태어 브래머, 에바 노블자다, 홍광호, 존 존 브라이언스,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,이웃집에 신이 산다,2015.12.24,"370,849,350",0.0%,"44,708",85,"1,982",벨기에,"벨기에,프랑스,룩셈부르크",(주)엣나인필름, 자코 반 도마엘,,,, 브누와 뽀엘부르드, 욜랜드 모로, 까뜨린느 드뇌브, 프랑소아 다미앙, 필리 그로인,,,,,,,,,,,,,,,,,,,,,,,,,,
214,플래그 더 문,2016.6.2,"327,298,000",0.0%,"44,574",244,"1,719",스페인,스페인,(주)박수엔터테인먼트, 엔리크 가토,,,, 이경태, 이지현, 다니 로비라, 미셸 제너,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,냉정과 열정사이,2003.10.10,"355,616,500",0.0%,"44,347",119,"3,722",일본,일본,"하준사,월트디즈니컴퍼니코리아(주)", 나카에 이사무,,,, 다케노우치 유타카, 진혜림,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,범죄의 여왕,2016.8.25,"343,663,400",0.0%,"43,823",270,"3,942",한국,한국,"(주)콘텐츠판다,TCO(주)더콘텐츠온", 이요섭,,,, 박지영, 조복래,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,BIFAN2016 판타스틱 단편 걸작선 1,,"258,603,000",0.0%,"43,003",5,210,기타,기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,스푹스:MI5,2016.3.17,"316,642,549",0.0%,"41,416",341,"6,090",영국,영국,(주)영화사 빅, 바랫 낼러리,,,, 키트 해링턴, 피터 퍼스, 엘예스 가벨, 제니퍼 엘,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,33,2016.4.7,"318,282,400",0.0%,"41,269",320,"4,299",미국,"미국,칠레",(주)나이너스엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,잔예 - 살아서는 안되는 방,2016.7.7,"337,608,700",0.0%,"41,247",287,"2,984",일본,일본,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,스누피: 더 피너츠 무비,2015.12.24,"311,917,200",0.0%,"40,862",161,"1,256",미국,미국,이십세기폭스코리아(주), 스티브 마티노,,,, 빌 멜렌데즈, 노아 스납,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,매드 맥스: 분노의 도로,2015.5.14,"473,125,200",0.0%,"40,255",103,"2,280",미국,"미국,호주",워너브러더스 코리아(주), 조지 밀러,,,, 톰 하디, 샤를리즈 테론, 니콜라스 홀트,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,동급생,2016.5.19,"280,704,500",0.0%,"38,706",100,"2,154",일본,일본,(주)박수엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,4등,2016.4.13,"286,355,700",0.0%,"38,611",213,"4,726",한국,한국,"(주)프레인글로벌,CGV아트하우스", 정지우,,,, 박해준, 이항나, 유재상, 최무성,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,나의 그리스식 웨딩 2,2016.3.30,"288,215,300",0.0%,"38,305",327,"5,237",미국,미국,(주)이수C&E, 리처드 캔터,,,, 프란시스 바버, 제시 빌드너,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,트릭,2016.7.13,"297,957,300",0.0%,"38,262",390,"5,939",한국,한국,"(주)스톰픽쳐스코리아,(주)이수C&E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,너의 이름은.,2017.1.4,"315,187,000",0.0%,"36,763",275,357,일본,일본,메가박스중앙(주)플러스엠, 신카이 마코토,,,, 카미키 류노스케, 카미시라이시 모네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,빌리와 용감한 녀석들: 치킨 히어로,2016.2.17,"251,011,600",0.0%,"35,937",241,"2,301",미국,"미국,멕시코","(주)박수엔터테인먼트,㈜코리아스크린", 가브리엘 리바 팔라시오 알라트리스테,,,, 이재범, 이경태, 김민정, 브루노 비치어, 안젤리카 베일, 오마르 차파로,,,,,,,,,,,,,,,,,,,,,,,,,
229,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,2016.8.17,"270,014,820",0.0%,"35,569",170,"1,774",한국,한국,(주)삼지애니메이션, 이영준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,브루클린의 멋진 주말,2016.1.21,"265,336,800",0.0%,"35,388",103,"2,095",미국,미국,(주)영화사 진진, 리처드 론크레인,,,, 모건 프리먼, 다이안 키튼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,신은 죽지 않았다 2,2016.4.7,"251,090,600",0.0%,"34,770",96,"2,041",미국,미국,"(주)에스와이코마드,글뫼 주식회사", 해롤드 크론크,,,, 멜리사 조안 하트, 제시 멧칼피, 데이빗 A.R. 화이트, 헤일리 오랜티아,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,시간을 달리는 소녀,2007.6.14,"268,232,600",0.0%,"34,338",74,"1,725",일본,일본,"(주)얼리버드픽쳐스,THE 픽쳐스,CJ ENM", 호소다 마모루,,,, 나카 리이사, 이시다 타쿠야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"헤일, 시저!",2016.3.24,"271,444,300",0.0%,"34,331",253,"3,893",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 에단 코엔, 조엘 코엔,,, 조지 클루니, 조슈 브롤린, 스칼릿 조핸슨, 랄프 파인즈, 채닝 테이텀, 틸다 스윈튼, 엘든 이렌리치, 조나 힐, 프란시스 맥도맨드,,,,,,,,,,,,,,,,,,,,,,
234,무한대를 본 남자,2016.11.3,"255,953,754",0.0%,"33,314",309,"4,604",영국,영국,판씨네마(주), 맷 브라운,,,, 데브 파텔, 제레미 아이언스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,태양 아래,2016.4.27,"206,495,400",0.0%,"33,008",120,"2,030",체코,"체코,러시아,독일",THE 픽쳐스, 로즈 로더,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,인어공주 : 새로운 모험의 시작,2016.11.3,"245,976,300",0.0%,"32,592",262,"1,867",중국,중국,예지림엔터테인먼트, 아담 추,,,, 김경희, 김연우, 윤세웅, 홍진욱,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,다가오는 것들,2016.9.29,"259,131,834",0.0%,"32,355",29,"1,323",프랑스,프랑스,찬란, 미아 한센-러브,,,, 이자벨 위페르, 에디뜨 스꼽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,대결,2016.9.22,"251,176,500",0.0%,"32,278",366,"5,409",한국,한국,"(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,극장판 유희왕 더 다크 사이드 오브 디멘션즈,2016.6.9,"256,266,200",0.0%,"32,117",210,"1,500",일본,일본,(주)넥스트엔터테인먼트월드(NEW), 쿠와바라 사토시,,,, 엄상현, 장성호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016.10.13,"263,405,900",0.0%,"31,843",157,"1,796",한국,한국,(주)박수엔터테인먼트, 히시다 마사카즈,,,, 아케사카 사토미, 아스미 카나, 치바 스스무, 고토 사오리, 하라 사유리, 이토 카나에, 카키하라 테츠야, 카토 에미리,,,,,,,,,,,,,,,,,,,,,,,
241,그랜드파더,2016.8.31,"233,692,400",0.0%,"31,640",288,"3,933",한국,한국,"(주)인벤트스톤,(주)디스테이션", 이서,,,, 박근형, 고보결, 정진영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,쿠보와 전설의 악기,2016.10.26,"208,824,862",0.0%,"30,525",100,"2,474",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 트래비스 나이트,,,, 샤를리즈 테론, 아트 파킨슨, 랄프 파인즈, 루니 마라, 매튜 맥커너히, 조지 타케이,,,,,,,,,,,,,,,,,,,,,,,,,
243,테일 오브 테일즈,2016.11.24,"234,357,700",0.0%,"29,922",102,"2,003",이탈리아,"이탈리아,프랑스",오드, 마테오 가로네,,,, 셀마 헤이엑, 뱅상 카셀, 스테이시 마틴, 토비 존스,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,스노우타임,2016.12.15,"211,141,400",0.0%,"29,575",259,"1,378",캐나다,캐나다,(주)영화사 빅, 장-프랑소아 풀리오,,,, 이지현, 김경희, 김연우, 최정현, 이현,,,,,,,,,,,,,,,,,,,,,,,,,,
245,벤허,1972.9.7,"251,166,500",0.0%,"29,421",93,"1,562",미국,미국,(주)팝엔터테인먼트, 마크 앳킨스,,,, 에드리언 보쳇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,걸즈 앤 판처 극장판,2016.8.25,"256,282,100",0.0%,"28,569",57,"1,378",일본,일본,"(주)머스트씨무비릴리징컴퍼니,주식회사 온 피크", 미즈시마 츠토무,,,, 후치가미 마이, 카야노 아이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,서프러제트,2016.6.23,"230,445,800",0.0%,"28,511",41,"1,016",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 사라 가브론,,,, 캐리 멀리건, 메릴 스트립, 로몰라 가레이, 헬레나 본햄 카터, 브렌단 글리슨, 벤 위쇼,,,,,,,,,,,,,,,,,,,,,,,,,
248,카페 6,2016.11.16,"196,383,500",0.0%,"28,353",126,"2,794",대만,대만,(주)라이크콘텐츠, 오자운,,,, 동자건, 안탁령, 임백굉, 오양니니,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,토마스와 친구들: 용감한 기관차와 괴물소동,2016.10.13,"192,443,400",0.0%,"27,345",291,"2,205",영국,영국,와이드 릴리즈(주), 롭 실베스트리,,,, 마크 모라한, 벤 스몰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,인천상륙작전 : 익스텐디드 에디션(확장판),2016.9.13,"220,051,200",0.0%,"27,070",122,"1,522",한국,한국,(주)씨제이이엔엠, 이재한,,,, 이정재, 이범수, 리암 니슨, 진세연,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,뉴 스텝업: 어반댄스,2016.9.22,"171,059,700",0.0%,"26,488",176,"1,524",뉴질랜드,뉴질랜드,THE 픽쳐스, 테미 데이비스,,,, 티아 마이피, 스탠 워커, 케링턴 페인,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,오페라의 유령,2004.12.8,"206,136,300",0.0%,"25,604",69,"1,103",미국,미국,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,CJ ENM", 조엘 슈마허,,,, 제라드 버틀러, 에미 로섬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,카이: 거울 호수의 전설,2016.8.17,"182,873,800",0.0%,"24,675",172,"1,555",한국,한국,메가박스중앙(주)플러스엠, 이성강,,,, 김영은, 박고운, 강진아, 박주광, 김도영, 김연아,,,,,,,,,,,,,,,,,,,,,,,,,
254,하이-라이즈,2016.3.30,"192,162,100",0.0%,"24,600",108,"2,129",영국,영국,찬란, 벤 웨틀리,,,, 톰 히들스턴, 제레미 아이언스, 시에나 밀러, 루크 에반스,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,키즈모노가타리 I : 철혈편,2016.6.30,"187,425,500",0.0%,"24,536",74,"1,399",일본,일본,(주)박수엔터테인먼트, 신보 아키유키, 오이시 타츠야,,, 카미야 히로시, 사카모토 마아야, 호리에 유이, 사쿠라이 타카히로,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,러브레터,1999.11.20,"197,869,900",0.0%,"24,510",150,"1,678",일본,일본,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트", 이와이 슌지,,,, 나카야마 미호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,나이스 가이즈,2016.7.6,"189,535,838",0.0%,"24,471",249,"3,585",미국,미국,메가박스중앙(주)플러스엠, 셰인 블랙,,,, 러셀 크로우, 라이언 고슬링,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,에곤 쉴레: 욕망이 그린 그림,2016.12.22,"190,425,100",0.0%,"23,931",50,738,오스트리아,"오스트리아 ,룩셈부르크",(주)티캐스트, 디터 베르너,,,, 노아 자베드라, 발레리 파흐너,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,45년 후,2016.5.5,"184,465,318",0.0%,"23,707",45,"1,174",영국,영국,판씨네마(주), 앤드류 헤이,,,, 샬롯 램플링, 톰 커트니, 돌리 웰스, 제라르딘 제임스,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,하이 스피드! –프리! 스타팅 데이즈-,2016.3.24,"172,018,500",0.0%,"23,496",60,"1,389",일본,일본,(주)박수엔터테인먼트, 타케모토 야스히로,,,, 시마자키 노부나가, 스즈키 타츠히사, 토요나가 토시유키, 우치야마 코우키, 노지마 켄지,,,,,,,,,,,,,,,,,,,,,,,,,,
261,미스터 캣,2016.10.19,"181,383,750",0.0%,"23,350",241,"2,440",프랑스,"프랑스,중국",(주)리틀빅픽쳐스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,사울의 아들,2016.2.25,"186,727,643",0.0%,"23,276",50,"1,220",헝가리,헝가리,그린나래미디어(주), 라즐로 네메스,,,, 게자 뢰리히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,잉글리쉬 페이션트,1997.3.15,"171,814,500",0.0%,"22,866",52,644,미국,미국,(주)영화사오원, 안소니 밍겔라,,,, 랄프 파인즈, 줄리엣 비노쉬, 윌렘 대포, 크리스틴 스콧 토마스,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,글루미 선데이,2000.10.21,"181,562,900",0.0%,"22,825",128,"2,409",독일,독일,(주)팝엔터테인먼트, 롤프 슈벨,,,, 조아킴 크롤, 스테파노 디오니시, 벤 벡커, 에리카 마로잔,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,피아니스트 세이모어의 뉴욕 소네트,2016.4.7,"185,082,700",0.0%,"22,734",20,958,미국,미국,(주)영화사 진진, 에단 호크,,,, 세이모어 번스타인, 에단 호크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,연애담,2016.11.17,"182,696,100",0.0%,"22,380",38,"1,398",한국,한국,(주)인디플러그, 이현주,,,, 이상희, 류아벨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,스킵트레이스: 합동수사,2016.8.31,"163,700,300",0.0%,"22,350",244,"3,021",홍콩,"홍콩,미국,중국",(주)영화사 빅, 레니 할린,,,, 성룡, 조니 녹스빌, 판빙빙,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,시크릿 인 데어 아이즈,2016.4.27,"162,031,200",0.0%,"21,692",186,"2,184",미국,미국,판씨네마(주), 빌리 레이,,,, 치웨텔 에지오포, 니콜 키드먼, 줄리아 로버츠, 딘 노리스,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,히야,2016.3.10,"173,844,100",0.0%,"21,687",124,"1,444",한국,한국,(주)라이크콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,해리포터와 죽음의 성물2,2011.7.13,"160,945,500",0.0%,"20,940",25,473,미국,미국,워너브러더스 코리아(주), 데이빗 예이츠,,,, 다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,하이큐!! 승자와 패자,2016.12.28,"145,794,000",0.0%,"20,814",103,726,일본,일본,"(주)이수C&E,(주)팝엔터테인먼트", 미츠나카 스스무,,,, 무라세 아유무, 이시카와 카이토, 히노 사토시, 이리노 미유, 호소야 요시마사,,,,,,,,,,,,,,,,,,,,,,,,,,
272,인터스텔라,2014.11.6,"241,759,500",0.0%,"20,727",17,303,미국,"미국,영국",워너브러더스 코리아(주), 크리스토퍼 놀란,,,, 매튜 맥커너히, 앤 해서웨이, 마이클 케인, 제시카 차스테인,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,비포 선셋,2004.10.22,"153,970,681",0.0%,"20,495",139,"1,868",미국,미국,"THE 픽쳐스,워너브러더스 코리아(주)", 리처드 링클레이터,,,, 에단 호크, 줄리 델피,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,세기의 매치,2016.1.28,"155,570,400",0.0%,"20,448",187,"2,349",미국,미국,판씨네마(주), 에드워드 즈윅,,,, 토비 맥과이어, 리브 슈라이버, 피터 사스가드, 릴리 레이브, 소피 넬리스, 로빈 웨이거트, 마이클 스털버그,,,,,,,,,,,,,,,,,,,,,,,,
275,바그다드 카페 : 디렉터스컷,2016.7.14,"148,312,809",0.0%,"20,314",59,"1,167",독일,"독일,미국","주식회사 왓챠,(주)팝엔터테인먼트", 퍼시 애들론,,,, 마리안느 세이지브레트, CCH 파운더,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,섬. 사라진 사람들,2016.3.3,"159,605,900",0.0%,"19,842",206,"2,450",한국,한국,(주)콘텐츠판다, 이지승,,,, 박효주, 배성우, 이현욱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,칠드런 오브 맨,2016.9.22,"161,598,200",0.0%,"19,648",56,"1,101",영국,"영국,미국","영화사 마농(주),(주)씨네클럽봉봉미엘", 알폰소 쿠아론,,,, 클라이브 오웬, 줄리안 무어, 마이클 케인,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,립반윙클의 신부,2016.9.28,"156,603,300",0.0%,"19,412",85,"1,571",일본,일본,"TCO(주)더콘텐츠온,주식회사 더쿱", 이와이 슌지,,,, 쿠로키 하루, 아야노 고, 코코,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,커터,2016.3.30,"151,165,500",0.0%,"19,405",199,"3,093",한국,한국,(주)스톰픽쳐스코리아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,트루스,2016.8.24,"152,087,000",0.0%,"19,330",123,"2,472",미국,미국,(주)라이크콘텐츠, 제임스 밴더빌트,,,, 케이트 블란쳇, 로버트 레드포드, 토퍼 그레이스, 엘리자베스 모스,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,이레셔널 맨,2016.7.21,"155,721,500",0.0%,"19,287",40,914,미국,미국,(주)프레인글로벌, 우디 앨런,,,, 호아킨 피닉스, 엠마 스톤, 파커 포시, 제이미 블랙리,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,프란치스코,2016.3.10,"131,141,849",0.0%,"18,802",184,"2,121",스페인,"스페인,아르헨티나,이탈리아",스튜디오 프로그레시브 인큐베이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,시카고,2003.3.28,"144,422,600",0.0%,"18,782",74,"1,076",미국,미국,"(주)키다리이엔티,코리아픽쳐스(주)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,다음 침공은 어디?,2016.9.8,"145,654,700",0.0%,"18,744",32,"1,061",미국,미국,판씨네마(주), 마이클 무어,,,, 마이클 무어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,무간도,2003.2.21,"148,245,400",0.0%,"18,566",101,"2,282",홍콩,홍콩,"(주)디스테이션,태창엔터테인먼트(주)", 맥조휘, 유위강,,, 양조위, 유덕화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,환상의 빛,2016.7.7,"148,911,300",0.0%,"18,544",37,996,일본,일본,주식회사 씨네룩스, 고레에다 히로카즈,,,, 에스미 마키코, 나이토 타카시, 아사노 타다노부,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,버스 657,2016.1.14,"143,676,000",0.0%,"18,042",161,"1,785",미국,미국,(주)스톰픽쳐스코리아, 스콧 만,,,, 로버트 드 니로, 제프리 딘 모건, 데이브 바티스타, 케이트 보스워스,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,2016.10.19,"144,153,025",0.0%,"18,024",150,"1,841",영국,"영국,미국",메가박스중앙(주)플러스엠, 론 하워드,,,, 존 레논, 폴 매카트니, 조지 해리슨, 링고 스타,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,당신자신과 당신의 것,2016.11.10,"145,562,200",0.0%,"17,884",151,"2,430",한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다", 홍상수,,,, 김주혁, 이유영, 김의성, 권해효, 유준상,,,,,,,,,,,,,,,,,,,,,,,,,,
290,"불량소녀, 너를 응원해!",2016.9.21,"140,509,000",0.0%,"17,875",128,"2,683",일본,일본,글뫼 주식회사, 도이 노부히로,,,, 아리무라 카스미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,미라클 프롬 헤븐,2016.5.25,"120,155,500",0.0%,"17,665",92,"1,774",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 패트리시아 리건,,,, 제니퍼 가너, 마틴 헨더슨, 카일리 로저스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,"조제, 호랑이 그리고 물고기들",2004.10.29,"145,313,108",0.0%,"17,611",90,"1,983",일본,일본,"(주)디스테이션,(주)프레인글로벌,(주)스폰지이엔티", 타무라 코타로,,,, 나카가와 타이시, 키요하라 카야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,내부자들,2015.11.19,"133,555,400",0.0%,"17,175",51,371,한국,한국,(주)쇼박스, 우민호,,,, 이병헌, 조승우, 백윤식,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,사랑하기 때문에,2017.1.4,"134,684,000",0.0%,"16,410",26,80,한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,리틀 폭스,2016.6.23,"119,113,500",0.0%,"16,207",150,934,중국,중국,예지림엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,예전부터 계속 좋아했어 ~고백실행위원회~,2016.9.29,"120,601,500",0.0%,"16,187",77,"1,451",일본,일본,(주)디스테이션,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,더 웨이브,2016.7.13,"126,516,321",0.0%,"16,108",140,"1,712",노르웨이,노르웨이,(주)팝엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
