idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31
39,굿 다이노,2016.1.7,"9,756,167,238",0.6%,"1,328,913",814,"33,127",미국,미국,월트디즈니컴퍼니코리아(주), 피터 손,,,, 레이몬드 오초아, 제프리 라이트, 프란시스 맥도맨드, 스티브 잔, 잭 브라이트, AJ 버클리, 안나 파킨, 샘 엘리어트, 마커스 스크리브너, 데이비드 보트,,,,,,,,,,,,,,,,,,,,,
40,셜록: 유령신부,2016.1.2,"9,992,425,049",0.6%,"1,278,894",891,"32,683",영국,영국,메가박스중앙(주)플러스엠, 더글러스 맥키넌,,,, 베네딕트 컴버배치, 마틴 프리먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,특별수사: 사형수의 편지,2016.6.16,"9,929,947,065",0.6%,"1,241,899",691,"39,372",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 권종관,,,, 김명민, 김상호, 성동일, 김영애, 김향기,,,,,,,,,,,,,,,,,,,,,,,,,,
42,시간이탈자,2016.4.13,"9,731,838,195",0.6%,"1,202,384",733,"55,075",한국,한국,(주)씨제이이엔엠, 곽재용,,,, 임수정, 조정석, 이진욱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,동주,2016.2.17,"8,889,077,089",0.5%,"1,172,641",543,"39,958",한국,한국,메가박스중앙(주)플러스엠, 이준익,,,, 강하늘, 박정민, 김인우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,워크래프트: 전쟁의 서막,2016.6.9,"10,142,271,205",0.6%,"1,163,274",736,"34,087",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 던칸 존스,,,, 트래비스 핌멜, 벤 포스터, 폴라 패튼, 도미닉 쿠퍼, 클랜시 브라운, 토비 켑벨,,,,,,,,,,,,,,,,,,,,,,,,,
45,스타트렉 비욘드,2016.8.17,"10,190,375,820",0.6%,"1,157,156",716,"38,199",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 저스틴 린,,,, 크리스 파인, 사이먼 페그, 조 샐다나, 재커리 퀸토, 칼 어번, 안톤 옐친, 존 조, 이드리스 엘바, 소피아 부텔라,,,,,,,,,,,,,,,,,,,,,,
46,미씽: 사라진 여자,2016.11.30,"8,881,616,256",0.5%,"1,153,109",790,"40,617",한국,한국,메가박스중앙(주)플러스엠, 이언희,,,, 엄지원, 공효진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"당신, 거기 있어줄래요",2016.12.14,"8,999,085,248",0.5%,"1,124,815",767,"39,181",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 홍지영,,,, 김윤석, 변요한, 채서진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,라이트 아웃,2016.8.24,"8,893,059,975",0.5%,"1,111,284",659,"34,444",미국,미국,워너브러더스 코리아(주), 데이비드 F. 샌드버그,,,, 테레사 팔머, 앨리시아 벨라 베일리, 가브리엘 베이트먼, 알렉산더 디퍼시아,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,오빠생각,2016.1.21,"8,060,591,287",0.5%,"1,069,864",855,"44,801",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 이한,,,, 임시완, 고아성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"날, 보러와요",2016.4.7,"8,836,144,063",0.5%,"1,063,442",683,"49,237",한국,한국,메가박스중앙(주)플러스엠, 이철하,,,, 강예원, 이상윤, 최진호,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,씽,2016.12.21,"8,203,857,789",0.5%,"1,063,175",795,"19,645",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 가스 제닝스,,,, 매튜 맥커너히, 리즈 위더스푼, 스칼릿 조핸슨, 태런 에저튼, 토리 켈리, 닉 크롤, 세스 맥팔레인,,,,,,,,,,,,,,,,,,,,,,,,
52,맨 인 더 다크,2016.10.5,"8,480,368,672",0.5%,"1,003,406",671,"40,136",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 알렉산더 샤프,,,, 나탈리 샤프, 블레이크 스타델,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"고산자, 대동여지도",2016.9.7,"7,801,007,258",0.4%,"974,262",765,"38,048",한국,한국,(주)씨제이이엔엠, 강우석,,,, 차승원, 유준상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,미 비포 유,2016.6.1,"7,663,772,990",0.4%,"945,172",481,"28,458",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,매그니피센트 7,2016.9.14,"7,633,490,421",0.4%,"921,317",579,"27,648",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 안톤 후쿠아,,,, 덴젤 워싱턴, 크리스 프랫, 이병헌, 에단 호크, 맷 보머, 빈센트 도노프리오, 헤일리 베넷, 캠 지갠뎃, 피터 사스가드, 비니 존스, 마누엘 가르시아 룰포, 마틴 센스마이어,,,,,,,,,,,,,,,,,,,
56,갓 오브 이집트,2016.3.3,"7,621,291,624",0.4%,"919,834",618,"35,323",미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트", 알렉스 프로야스,,,, 제라드 버틀러, 니콜라이 코스터 왈도, 브렌튼 스웨이츠, 제프리 러쉬,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,레전드 오브 타잔,2016.6.29,"7,196,970,717",0.4%,"858,402",593,"28,021",미국,미국,워너브러더스 코리아(주), 데이빗 예이츠,,,, 알렉산더 스카스가드, 사무엘 L. 잭슨, 마고 로비, 디몬 하운수, 크리스토프 왈츠,,,,,,,,,,,,,,,,,,,,,,,,,,
58,좋아해줘,2016.2.17,"6,572,774,337",0.4%,"848,148",637,"27,125",한국,한국,(주)씨제이이엔엠, 박현진,,,, 이미연, 최지우, 김주혁, 유아인, 강하늘, 이솜,,,,,,,,,,,,,,,,,,,,,,,,,
59,브리짓 존스의 베이비,2016.9.28,"6,678,585,874",0.4%,"820,995",509,"30,736",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 샤론 맥과이어,,,, 르네 젤위거, 콜린 퍼스, 패트릭 뎀시,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,스플릿,2016.11.9,"6,102,712,539",0.4%,"758,195",702,"32,616",한국,한국,오퍼스픽쳐스(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,런던 해즈 폴른,2016.3.10,"5,908,367,979",0.3%,"731,584",526,"37,569",미국,"미국,영국",메가박스중앙(주)플러스엠, 바박 나자피,,,, 제라드 버틀러, 아론 에크하트, 모건 프리먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,국가대표 2,2016.8.10,"5,482,232,042",0.3%,"709,929",562,"20,689",한국,한국,메가박스중앙(주)플러스엠, 김종현,,,, 수애, 오달수, 오연서,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,인페르노,2016.10.19,"5,656,281,303",0.3%,"689,071",754,"31,809",미국,"미국,일본,터키,헝가리",유니버설픽쳐스인터내셔널 코리아(유), 론 하워드,,,, 톰 행크스, 펠리시티 존스, 벤 포스터, 이르판 칸, 오마 사이,,,,,,,,,,,,,,,,,,,,,,,,,,
64,앵그리버드 더 무비,2016.5.19,"5,218,111,744",0.3%,"680,606",661,"15,812",미국,"미국,핀란드",유니버설픽쳐스인터내셔널 코리아(유), 서럽 밴 오먼,,,, 제이슨 서디키스, 조시 게드, 대니 맥브라이드, 피터 딘클리지, 아콰피나,,,,,,,,,,,,,,,,,,,,,,,,,,
65,그날의 분위기,2016.1.14,"5,149,571,612",0.3%,"653,287",592,"27,186",한국,한국,(주)쇼박스, 조규장,,,, 문채원, 유연석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,사냥,2016.6.29,"4,912,658,515",0.3%,"645,922",696,"28,862",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,널 기다리며,2016.3.10,"5,234,303,336",0.3%,"635,235",551,"33,774",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 모홍진,,,, 심은경, 윤제문, 김성오,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,설리: 허드슨강의 기적,2016.9.28,"5,234,170,754",0.3%,"627,102",573,"26,609",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,잭 리처: 네버 고 백,2016.11.30,"4,638,072,258",0.3%,"611,097",667,"23,659",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 에드워드 즈윅,,,, 톰 크루즈, 코비 스멀더스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,로그 원: 스타워즈 스토리,2016.12.28,"5,127,537,094",0.3%,"596,487",907,"15,441",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 가렛 에드워즈,,,, 펠리시티 존스, 디에고 루나, 매즈 미켈슨, 리즈 아메드, 포레스트 휘태커, 견자단, 강문,,,,,,,,,,,,,,,,,,,,,,,,
71,싱 스트리트,2016.5.19,"4,489,637,672",0.3%,"560,790",494,"22,825",아일랜드,"아일랜드,영국,미국",(주)이수C&E, 존 카니,,,, 페리다 월시-필로, 루시 보인턴, 잭 레이너, 마크 맥케나,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,아이스 에이지: 지구 대충돌,2016.7.20,"4,092,484,600",0.2%,"553,760",580,"13,018",미국,미국,이십세기폭스코리아(주), 마이크 트메이어,,,, 존 레귀자모, 레이 로마노, 제니퍼 로페즈, 아담 드바인, 제시 테일러 퍼거슨,,,,,,,,,,,,,,,,,,,,,,,,,,
73,몬스터 호텔 2,2015.12.24,"4,059,258,691",0.2%,"552,334",637,"13,162",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 젠디 타타코브스키,,,, 아담 샌들러, 셀레나 고메즈, 케빈 제임스, 스티브 부세미,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,메카닉: 리크루트,2016.8.31,"4,458,200,800",0.3%,"551,897",320,"17,497",미국,"미국,프랑스",(주)제이앤씨미디어그룹, 데니스 간젤,,,, 제이슨 스타뎀, 제시카 알바, 토미 리 존스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,고스트버스터즈,2016.8.25,"4,116,570,075",0.2%,"515,553",511,"18,026",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 폴 페이그,,,, 멜리사 맥카시, 크리스틴 위그, 케이트 맥키넌, 레슬리 존스, 크리스 헴스워스,,,,,,,,,,,,,,,,,,,,,,,,,,
76,거울나라의 앨리스,2016.9.7,"4,145,733,267",0.2%,"513,202",515,"19,585",미국,미국,월트디즈니컴퍼니코리아(주), 제임스 보빈,,,, 조니 뎁, 앤 해서웨이, 미아 와시코브스카, 헬레나 본햄 카터, 사챠 바론 코헨, 앨런 릭먼, 마이클 쉰,,,,,,,,,,,,,,,,,,,,,,,,
77,가려진 시간,2016.11.16,"3,946,462,400",0.2%,"510,878",884,"30,404",한국,한국,(주)쇼박스, 엄태화,,,, 강동원, 신은수, 이효제,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,명탐정 코난: 순흑의 악몽,2016.8.3,"3,766,157,500",0.2%,"508,869",447,"7,983",일본,일본,(주)씨제이이엔엠, 시즈노 코분,,,, 김선혜, 강수진, 이정구, 이현진,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,해어화,2016.4.13,"3,768,200,759",0.2%,"485,695",572,"32,322",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 박흥식,,,, 한효주, 유연석, 천우희, 박성웅,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,계춘할망,2016.5.19,"3,600,794,348",0.2%,"482,516",526,"19,644",한국,한국,(주)콘텐츠 난다긴다, 창감독,,,, 윤여정, 김고은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"로봇, 소리",2016.1.27,"3,519,595,560",0.2%,"476,665",609,"25,502",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이호재,,,, 이성민, 이희준, 이하늬, 김원해, 채수빈, 심은경,,,,,,,,,,,,,,,,,,,,,,,,,
82,스타워즈: 깨어난 포스,2015.12.17,"4,204,317,791",0.2%,"470,645",552,"12,801",미국,미국,월트디즈니컴퍼니코리아(주), J.J. 에이브럼스,,,, 데이지 리들리, 존 보예가, 오스카 아이삭, 아담 드라이버, 그웬돌린 크리스티, 도널 글리슨, 해리슨 포드, 마크 해밀, 캐리 피셔, 사이먼 페그, 막스 폰 시도우,,,,,,,,,,,,,,,,,,,,
83,빅쇼트,2016.1.21,"3,622,652,707",0.2%,"446,712",489,"17,316",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 아담 맥케이,,,, 크리스찬 베일, 스티브 카렐, 라이언 고슬링, 브래드 피트,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,헌츠맨: 윈터스 워,2016.4.13,"3,544,262,706",0.2%,"445,009",557,"25,789",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 세딕 니콜라스 트로얀,,,, 크리스 헴스워스, 샤를리즈 테론, 에밀리 블런트, 제시카 차스테인,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,나를 잊지 말아요,2016.1.7,"3,398,915,000",0.2%,"425,799",559,"19,138",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,나의 소녀시대,2016.5.12,"3,314,491,150",0.2%,"409,537",201,"12,404",대만,대만,오드, 프랭키 첸,,,, 송운화, 왕대륙, 이옥새, 간정예,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,조선마술사,2015.12.30,"3,143,566,733",0.2%,"403,919",608,"13,708",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김대승,,,, 유승호, 고아라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,언더 워터,2016.7.13,"3,111,772,391",0.2%,"384,789",518,"13,058",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 자움 콜렛 세라,,,, 블레이크 라이블리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,클로버필드 10번지,2016.4.7,"2,928,428,655",0.2%,"357,736",575,"24,680",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 댄 트라첸버그,,,, 메리 엘리자베스 윈스티드, 존 굿맨, 존 갤러거 주니어,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,위자: 저주의 시작,2016.11.9,"2,637,517,406",0.2%,"331,877",467,"15,660",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 마이크 플래너건,,,, 엘리자베스 리저, 애너리즈 바쏘, 룰루 윌슨, 헨리 토마스,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016.7.20,"2,467,275,080",0.1%,"330,725",403,"6,607",일본,일본,(주)씨제이이엔엠, 타카하시 시게하루, 우시로 신지,,, 박경혜, 홍범기, 김현지, 김보영, 정혜옥, 신용우, 이호산, 김율, 방연지, 이미자, 강호철, 여민정, 이수진, 김신우, 김지율, 방연지, 김가령, 손정아, 한신, 황원, 김준, 정유정, 김가령, 현경수, 김채하, 김정훈, 손수호, 토마츠 하루카, 유우키 아오이, 세키 토모카즈,
