idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
29,강남 1970,2015.1.21,"17,718,699,499",1.00%,"2,192,276",841,"53,304",한국,한국,(주)쇼박스, 유하,, 이민호, 김래원, 정진영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,뷰티 인사이드,2015.8.20,"16,148,479,531",0.90%,"2,053,435",648,"52,618",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,오늘의 연애,2015.1.14,"14,924,654,487",0.90%,"1,891,993",709,"47,237",한국,한국,(주)씨제이이엔엠, 박진표,, 이승기, 문채원, 이서진, 정준영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,테이큰 3,2015.1.1,"15,088,105,000",0.90%,"1,860,934",616,"38,060",미국,미국,이십세기폭스코리아(주), 올리비에 메가턴,, 리암 니슨, 팜케 얀센, 매기 그레이스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,007 스펙터,2015.11.11,"14,301,476,030",0.80%,"1,820,760","1,105","51,940",영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유), 샘 멘데스,, 다니엘 크레이그, 레아 세이두, 크리스토프 왈츠, 모니카 벨루치, 랄프 파인즈, 데이브 바티스타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,이미테이션 게임,2015.2.17,"13,655,929,120",0.80%,"1,743,963",541,"44,782",영국,영국,메가박스중앙(주)플러스엠, 모튼 틸덤,, 베네딕트 컴버배치, 키이라 나이틀리, 매튜 구드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,샌 안드레아스,2015.6.3,"14,435,844,152",0.80%,"1,716,455",847,"62,016",미국,미국,워너브러더스 코리아(주), 브래드 페이튼,, 드웨인 존슨, 알렉산드라 다드다리오, 칼라 구기노, 이안 그루퍼드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,쎄시봉,2015.2.5,"13,571,515,911",0.80%,"1,715,370",829,"51,744",한국,한국,(주)씨제이이엔엠, 김현석,, 정우, 김윤석, 한효주, 김희애, 진구, 장현성, 강하늘, 조복래,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,더 폰,2015.10.22,"12,309,164,568",0.70%,"1,593,694",794,"53,599",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 맥스 바톨리,, 루시오 마우리노, 안젤라 리치오티, 알레산드로 로마니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,위플래쉬,2015.3.12,"12,656,619,045",0.70%,"1,589,032",574,"56,028",미국,미국,"워터홀컴퍼니(주),(주)쇼박스", 데이미언 셔젤,, 마일즈 텔러, J.K. 시몬스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,대호,2015.12.16,"12,104,808,332",0.70%,"1,584,168",892,"39,599",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 박훈정,, 최민식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,마다가스카의 펭귄,2014.12.31,"11,450,482,159",0.70%,"1,512,340",615,"27,171",미국,미국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,차이나타운,2015.4.29,"11,990,370,378",0.70%,"1,472,106",551,"45,137",한국,한국,CGV아트하우스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,장수상회,2015.4.9,"8,737,364,643",0.50%,"1,165,780",688,"52,928",한국,한국,(주)씨제이이엔엠, 강제규,, 박근형, 윤여정, 조진웅, 한지민,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,성난 변호사,2015.10.8,"8,723,650,039",0.50%,"1,128,288",607,"36,990",한국,한국,(주)씨제이이엔엠, 허종호,, 이선균, 김고은, 임원희,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,간신,2015.5.21,"8,946,842,910",0.50%,"1,110,246",697,"40,580",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 민규동,, 주지훈, 김강우, 천호진, 임지연, 이유영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,박물관이 살아있다 : 비밀의 무덤,2015.1.14,"8,170,784,606",0.50%,"1,101,678",500,"30,146",미국,"미국,영국",이십세기폭스코리아(주), 숀 레비,, 벤 스틸러, 로빈 윌리엄스, 댄 스티븐스, 오웬 윌슨, 레벨 윌슨, 벤 킹슬리, 딕 반 다이크, 스티브 쿠건, 미키 루니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,그놈이다,2015.10.28,"8,096,427,152",0.50%,"1,046,015",681,"38,678",한국,한국,CGV아트하우스, 윤준형,, 주원, 유해진, 이유영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,미쓰 와이프,2015.8.13,"7,387,086,869",0.40%,"988,451",437,"28,864",한국,한국,메가박스중앙(주)플러스엠, 강효진,, 엄정화, 송승헌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,몬스터 호텔 2,2015.12.24,"7,029,012,585",0.40%,"962,770",686,"12,388",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 젠디 타타코브스키,, 아담 샌들러, 셀레나 고메즈, 케빈 제임스, 스티브 부세미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,허삼관,2015.1.14,"7,408,943,569",0.40%,"955,679",621,"27,645",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 하정우,, 하정우, 하지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"님아, 그 강을 건너지 마오",2014.11.27,"7,510,901,600",0.40%,"955,433",486,"26,199",한국,한국,"CGV아트하우스,(주)대명문화공장", 진모영,, 조병만, 강계열,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,살인의뢰,2015.3.12,"6,986,456,737",0.40%,"855,980",646,"35,244",한국,한국,씨네그루(주)다우기술, 손용호,, 김상경, 김성균, 박성웅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,손님,2015.7.9,"6,385,937,880",0.40%,"828,025",634,"23,404",한국,한국,(주)씨제이이엔엠, 김광태,, 류승룡, 이성민, 천우희, 이준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,인시디어스 3,2015.7.9,"6,396,650,620",0.40%,"825,517",416,"20,824",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 리 워넬,, 스테파니 스콧, 더모트 멀로니, 린 샤예, 앵거스 샘슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,하트 오브 더 씨,2015.12.3,"6,777,420,023",0.40%,"809,399",535,"29,219",미국,미국,워너브러더스 코리아(주), 론 하워드,, 크리스 헴스워스, 킬리언 머피, 벤 위쇼, 샬롯 라일리, 브렌단 글리슨, 벤자민 워커,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
