idx,rank,name,date,sales,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13
196,197,마스터,2013.7.11,"264,021,800",0.00%,"34,571",38,"1,435",미국,미국,(주)영화사 진진, 조의석,,,, 이병헌, 강동원, 김우빈, 엄지원, 오달수, 진경,,,,,,,
197,198,빅 웨딩,2013.6.27,"231,885,500",0.00%,"33,993",166,"2,838",미국,미국,(주)나이너스엔터테인먼트, 저스틴 잭햄,,,, 아만다 사이프리드, 벤 반스, 로버트 드 니로, 캐서린 헤이글, 다이안 키튼, 수잔 서랜든, 로빈 윌리엄스,,,,,,
198,199,러스트 앤 본,2013.5.2,"240,253,900",0.00%,"31,800",38,"1,622",프랑스,프랑스,그린나래미디어(주),,,,,,,,,,,,,,,,,
199,200,꼭두각시,2013.6.20,"227,941,500",0.00%,"31,713",134,"2,862",한국,한국,(주)인벤트스톤,,,,,,,,,,,,,,,,,
200,201,어떤 시선,2013.10.24,"203,801,800",0.00%,"31,014",45,"1,387",한국,한국,(주)영화사 진진, 박정범, 신아가, 이상철, 민용근, 이영석, 황재원, 임성철, 김한주, 길해연, 박주희, 공명,,,,,,
201,202,극장판 나루토 질풍전: 로드 투 닌자,2013.2.21,"200,268,500",0.00%,"30,123",72,941,일본,일본,씨너스엔터테인먼트(주), 하야토 다테,,,, 타케우치 준코, 나카무라 치에, 모리카와 토시유키,,,,,,,,,,
202,203,러브액츄얼리: 크리스마스 에디션,2013.12.18,"220,720,647",0.00%,"28,872",82,"1,098",미국,"미국,영국",(주)팝엔터테인먼트, 리차드 커티스,,,, 휴 그랜트, 리암 니슨, 콜린 퍼스, 로라 리니, 엠마 톰슨, 앨런 릭먼, 키이라 나이틀리, 마틴 맥커친, 빌 나이,,,,
203,204,원 데이,2012.12.13,"218,601,000",0.00%,"28,523",27,899,미국,미국,"(주)영화사 그램,(주)제이앤씨미디어그룹,(주)팝파트너스", 론 쉐르픽,,,, 앤 해서웨이, 짐 스터게스,,,,,,,,,,,
204,205,머드,2013.11.28,"206,252,500",0.00%,"28,507",113,"2,008",미국,미국,(주)프레인글로벌,,,,,,,,,,,,,,,,,
205,206,쾌걸 조로리의 대대대대모험,2013.6.5,"173,490,500",0.00%,"27,598",136,"1,272",일본,일본,(주)미디어데이, 이와사키 토모코,,,, 야마데라 코이치, 아이카와 리카코, 쿠마이 모토코,,,,,,,,,,
206,207,코비: 블루 엘리펀트의 전설,2013.12.5,"165,671,000",0.00%,"27,463",104,"1,034",태국,태국,(주)영화사 빅, 타위랍 스리우티윙스,,,, 위훈, 윤세웅, 곽윤상, 윤승희, 이제인, 전진아, 김경희, 권문정, 박상훈,,,,
207,208,시네마 천국,1990.7.7,"198,488,500",0.00%,"27,030",32,"1,539",프랑스,"프랑스,이탈리아","주식회사 왓챠,(주)팝엔터테인먼트", 쥬세페 토르나토레,,,, 마르코 레오나르디, 필립 느와레, 자끄 페렝, 살바토레 카스치오, 브리지트 포시,,,,,,,,
208,209,스파이크,2013.12.5,"151,066,500",0.00%,"25,158",159,"1,199",프랑스,프랑스,"예지림엔터테인먼트,선필름",,,,,,,,,,,,,,,,,
209,210,빅 픽처,2013.7.4,"182,904,800",0.00%,"25,038",38,"1,131",프랑스,프랑스,(주)드림웨스트픽쳐스,,,,,,,,,,,,,,,,,
210,211,히어로,2013.10.8,"158,900,000",0.00%,"23,841",179,"2,130",한국,한국,(주)마인스 엔터테인먼트,,,,,,,,,,,,,,,,,
211,212,빨간머리 앤 : 그린게이블로 가는 길,2013.1.9,"165,880,000",0.00%,"23,531",108,"1,551",일본,일본,(주)미디어데이,,,,,,,,,,,,,,,,,
212,213,8월의 크리스마스,1998.1.24,"164,902,000",0.00%,"23,518",71,"2,280",한국,한국,"한국영상투자개발(주),(주)싸이더스", 허진호,,,, 한석규, 심은하,,,,,,,,,,,
213,214,디스커넥트,2013.11.7,"161,108,704",0.00%,"23,255",113,"1,655",미국,미국,(주)영화사 빅,,,,,,,,,,,,,,,,,
214,215,부에노스 아이레스에서 사랑에 빠질 확률,2013.9.12,"179,314,000",0.00%,"23,203",18,"1,089",아르헨티나,"아르헨티나,스페인,독일",(주)영화사 진진, 구스타보 타레토,,,, 하비에르 드롤라스, 필라르 로페스 데 아얄라,,,,,,,,,,,
215,216,26년,2012.11.29,"130,489,000",0.00%,"23,177",29,635,한국,한국,"(주)인벤트스톤,영화사청어람(주)", 조근현,,,, 진구, 한혜진, 임슬옹,,,,,,,,,,
216,217,짓,2013.9.25,"162,540,500",0.00%,"23,052",159,"2,758",한국,한국,(주)팝파트너스,,,,,,,,,,,,,,,,,
217,218,알렉스 크로스,2013.3.14,"164,165,000",0.00%,"22,978",162,"3,168",미국,미국,(주)인벤트스톤, 롭 코헨,,,, 매튜 폭스, 타일러 페리, 레이첼 니콜스,,,,,,,,,,
218,219,프라미스드 랜드,2013.12.12,"166,064,662",0.00%,"22,266",52,"1,412",미국,미국,CGV아트하우스, 구스 반 산트,,,, 맷 데이먼, 존 크래신스키, 프란시스 맥도맨드, 로즈마리 드윗,,,,,,,,,
219,220,잉여들의 히치하이킹,2013.11.28,"154,223,500",0.00%,"22,166",35,"1,553",한국,한국,CGV아트하우스, 이호재,,,, 이호재, 이현학, 하승엽, 김휘,,,,,,,,,
220,221,까밀 리와인드,2013.7.18,"164,661,000",0.00%,"22,100",27,990,프랑스,프랑스,(주)엣나인필름, 노에미 르보브스키,,,, 노에미 르보브스키, 사미르 구에스미, 욜랜드 모로, 미셸 빌레모,,,,,,,,,
221,222,사이비,2013.11.21,"162,722,300",0.00%,"21,864",76,"1,792",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 연상호,,,, 양익준, 오정세, 권해효, 박희본,,,,,,,,,
222,223,플레이스 비욘드 더 파인즈,2013.8.1,"161,160,500",0.00%,"21,747",30,"1,083",미국,미국,(주)미디어데이, 데릭 시엔프랜스,,,, 라이언 고슬링, 브래들리 쿠퍼, 에바 멘데스,,,,,,,,,,
223,224,그랑블루 리마스터링 감독판,2013.7.25,"163,350,079",0.00%,"21,385",34,713,프랑스,"프랑스,이탈리아",(주)팝파트너스,,,,,,,,,,,,,,,,,
224,225,천안함 프로젝트,2013.9.5,"158,528,500",0.00%,"21,316",33,919,한국,한국,(주)아우라픽처스, 백승우,,,, 강신일,,,,,,,,,,,,
225,226,아기기린 자라파,2013.2.14,"133,077,000",0.00%,"20,811",87,"1,265",프랑스,"프랑스,벨기에",롯데쇼핑㈜롯데엔터테인먼트, 레미 베잔송, 장-클리스토페 리에,,, 맥스 레나우딘, 시몬 압카리언, 프랑수아 제르비에 드메종,,,,,,,,,,
226,227,소녀,2013.11.7,"153,877,000",0.00%,"20,594",73,"1,595",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,
227,228,플라이트,2013.2.28,"150,391,500",0.00%,"20,491",79,"1,375",미국,미국,(주)씨제이이엔엠, 로버트 저메키스,,,, 덴젤 워싱턴, 돈 치들, 켈리 라일리, 존 굿맨, 멜리사 레오,,,,,,,,
228,229,완전 소중한 사랑,2013.11.21,"129,614,500",0.00%,"20,303",66,"1,445",한국,한국,주식회사 마운틴픽쳐스, 김진민,,,, 심이영, 임지규,,,,,,,,,,,
